Artist(s),Query,Rank,Song,Year
Neil Diamond  &  Barbra Streisand,track:You Don t Bring Me Flowers artist:Neil Diamond  &  Barbra Streisand,21,You Don t Bring Me Flowers,1979.0
Suzi Quatro  &  Chris Norman,track:Stumblin  In artist:Suzi Quatro  &  Chris Norman,23,Stumblin  In,1979.0
Ian Matthews,track:Shake It artist:Ian Matthews,73,Shake It,1979.0
GQ,track:Disco Nights (Rock-Freak) artist:GQ,76,Disco Nights (Rock-Freak),1979.0
Linda Ronstadt,track:Ooo Baby Baby artist:Linda Ronstadt,77,Ooo Baby Baby,1979.0
