Artist(s),Query,Rank,Song,Year
Patti Austin  and  James Ingram,"track:Baby, Come to Me artist:Patti Austin  and  James Ingram",8,"Baby, Come to Me",1983.0
Eddy Grant,track:Electric Avenue artist:Eddy Grant,22,Electric Avenue,1983.0
Kenny Rogers  and  Sheena Easton,track:We ve Got Tonight artist:Kenny Rogers  and  Sheena Easton,40,We ve Got Tonight,1983.0
Peabo Bryson  and  Roberta Flack,"track:Tonight, I Celebrate My Love artist:Peabo Bryson  and  Roberta Flack",96,"Tonight, I Celebrate My Love",1983.0
