Artist(s),Query,Rank,Song,Year
Van McCoy & the Soul City Symphony,track:The Hustle artist:Van McCoy & the Soul City Symphony,22,The Hustle,1975.0
Paul Anka  &  Odia Coates,track:One Man Woman/One Woman Man artist:Paul Anka  &  Odia Coates,66,One Man Woman/One Woman Man,1975.0
Paul Anka  &  Odia Coates,track:I Don t Like to Sleep Alone artist:Paul Anka  &  Odia Coates,73,I Don t Like to Sleep Alone,1975.0
