Artist(s),Query,Rank,Song,Year
"Dionne and Friends (  Dionne Warwick  ,  Gladys Knight  ,  Elton John  and  Stevie Wonder  )","track:That s What Friends Are For artist:Dionne and Friends (  Dionne Warwick  ,  Gladys Knight  ,  Elton John  and  Stevie Wonder  )",1,That s What Friends Are For,1986.0
Patti LaBelle  and  Michael McDonald,track:On My Own artist:Patti LaBelle  and  Michael McDonald,4,On My Own,1986.0
Mike + The Mechanics,track:Silent Running (On Dangerous Ground) artist:Mike + The Mechanics,70,Silent Running (On Dangerous Ground),1986.0
Paul McCartney,track:Spies Like Us artist:Paul McCartney,92,Spies Like Us,1986.0
