Artist(s),Query,Rank,Song,Year
Queen,track:We Will Rock You  /  We Are the Champions artist:Queen,25,We Will Rock You  /  We Are the Champions,1978.0
Johnny Mathis  &  Deniece Williams,"track:Too Much, Too Little, Too Late artist:Johnny Mathis  &  Deniece Williams",28,"Too Much, Too Little, Too Late",1978.0
Roberta Flack  &  Donny Hathaway,track:The Closer I Get to You artist:Roberta Flack  &  Donny Hathaway,38,The Closer I Get to You,1978.0
Kenny Loggins  &  Stevie Nicks,track:Whenever I Call You  Friend  artist:Kenny Loggins  &  Stevie Nicks,83,Whenever I Call You  Friend ,1978.0
