Artist(s),Query,Rank,Song,Year
"Christina Aguilera  ,  Lil' Kim  ,  Mýa  and  Pink","track:Lady Marmalade artist:Christina Aguilera  ,  Lil' Kim  ,  Mýa  and  Pink",24,Lady Marmalade,2001.0
Dream,track:He Loves U Not artist:Dream,28,He Loves U Not,2001.0
Ricky Martin  and  Christina Aguilera,track:Nobody Wants to Be Lonely artist:Ricky Martin  and  Christina Aguilera,55,Nobody Wants to Be Lonely,2001.0
Eden's Crush,track:Get Over Yourself artist:Eden's Crush,92,Get Over Yourself,2001.0
Pink,track:Most Girls artist:Pink,97,Most Girls,2001.0
