Artist(s),Query,Rank,Song,Year
Terence Trent D'Arby,track:Wishing Well artist:Terence Trent D'Arby,12,Wishing Well,1988.0
Gloria Estefan and Miami Sound Machine,track:Anything for You artist:Gloria Estefan and Miami Sound Machine,13,Anything for You,1988.0
The Bangles,track:A Hazy Shade of Winter artist:The Bangles,35,A Hazy Shade of Winter,1988.0
Terence Trent D'Arby,track:Sign Your Name artist:Terence Trent D'Arby,58,Sign Your Name,1988.0
Gloria Estefan and Miami Sound Machine,track:1-2-3 artist:Gloria Estefan and Miami Sound Machine,62,1-2-3,1988.0
Bruce Hornsby and the Range,track:The Valley Road artist:Bruce Hornsby and the Range,78,The Valley Road,1988.0
Gloria Estefan and Miami Sound Machine,track:Can t Stay Away from You artist:Gloria Estefan and Miami Sound Machine,90,Can t Stay Away from You,1988.0
