Artist(s),Query,Rank,Song,Year
Diana Ross  &  Lionel Richie,track:Endless Love artist:Diana Ross  &  Lionel Richie,2,Endless Love,1981.0
Raydio,track:A Woman Needs Love (Just Like You Do) artist:Raydio,16,A Woman Needs Love (Just Like You Do),1981.0
The Manhattan Transfer,track:The Boy from New York City artist:The Manhattan Transfer,36,The Boy from New York City,1981.0
Dottie West  &  Kenny Rogers,track:What Are We Doin  in Love artist:Dottie West  &  Kenny Rogers,55,What Are We Doin  in Love,1981.0
Stevie Wonder,track:Master Blaster (Jammin ) artist:Stevie Wonder,69,Master Blaster (Jammin ),1981.0
Stanley Clarke  &  George Duke,track:Sweet Baby artist:Stanley Clarke  &  George Duke,78,Sweet Baby,1981.0
John Schneider,track:It s Now or Never artist:John Schneider,82,It s Now or Never,1981.0
Olivia Newton-John  &  Cliff Richard,track:Suddenly artist:Olivia Newton-John  &  Cliff Richard,91,Suddenly,1981.0
Gary Wright,track:Really Wanna Know You artist:Gary Wright,96,Really Wanna Know You,1981.0
