Artist(s),Query,Rank,Song,Year
Paul McCartney  and  Michael Jackson,track:Say Say Say artist:Paul McCartney  and  Michael Jackson,3,Say Say Say,1984.0
Julio Iglesias  and  Willie Nelson,track:To All the Girls I ve Loved Before artist:Julio Iglesias  and  Willie Nelson,50,To All the Girls I ve Loved Before,1984.0
Kenny Rogers  and  Dolly Parton,track:Islands in the Stream artist:Kenny Rogers  and  Dolly Parton,56,Islands in the Stream,1984.0
Mike Reno  and  Ann Wilson,track:Almost Paradise artist:Mike Reno  and  Ann Wilson,59,Almost Paradise,1984.0
Irene Cara,track:Breakdance artist:Irene Cara,69,Breakdance,1984.0
Ollie & Jerry,track:Breakin ... There s No Stopping Us artist:Ollie & Jerry,80,Breakin ... There s No Stopping Us,1984.0
James Ingram  and  Michael McDonald,track:Yah Mo B There artist:James Ingram  and  Michael McDonald,100,Yah Mo B There,1984.0
