Artist(s),Query,Rank,Song,Year
Jawsh 685  and  Jason Derulo,track:Savage Love (Laxed – Siren Beat) artist:Jawsh 685  and  Jason Derulo,35,Savage Love (Laxed – Siren Beat),2020.0
Lady Gaga  and  Ariana Grande,track:Rain on Me artist:Lady Gaga  and  Ariana Grande,48,Rain on Me,2020.0
Black Eyed Peas  and  J Balvin,track:Ritmo (Bad Boys for Life) artist:Black Eyed Peas  and  J Balvin,50,Ritmo (Bad Boys for Life),2020.0
Blake Shelton  and  Gwen Stefani,track:Nobody but You artist:Blake Shelton  and  Gwen Stefani,52,Nobody but You,2020.0
Ariana Grande  and  Justin Bieber,track:Stuck with U artist:Ariana Grande  and  Justin Bieber,80,Stuck with U,2020.0
"The Scotts,  Travis Scott  and  Kid Cudi","track:The Scotts artist:The Scotts,  Travis Scott  and  Kid Cudi",86,The Scotts,2020.0
Doja Cat  and  Tyga,track:Juicy artist:Doja Cat  and  Tyga,87,Juicy,2020.0
"Kane Brown  ,  Swae Lee  and  Khalid","track:Be Like That artist:Kane Brown  ,  Swae Lee  and  Khalid",88,Be Like That,2020.0
Jhené Aiko,track:Pussy Fairy (OTW) artist:Jhené Aiko,94,Pussy Fairy (OTW),2020.0
