Artist(s),Query,Rank,Song,Year
Johnny Rivers,track:The Seventh Son artist:Johnny Rivers,45,The Seventh Son,1965.0
Herman's Hermits,"track:I m Henry the Eighth, I Am artist:Herman's Hermits",46,"I m Henry the Eighth, I Am",1965.0
