Artist(s),Query,Rank,Song,Year
Anita Bryant,track:Paper Roses artist:Anita Bryant,41,Paper Roses,1960.0
The Browns,track:The Old Lamp-Lighter artist:The Browns,58,The Old Lamp-Lighter,1960.0
The Safaris  & The Phantom's Band,track:Image of a Girl artist:The Safaris  & The Phantom's Band,62,Image of a Girl,1960.0
Spencer Ross,track:Tracy s Theme artist:Spencer Ross,81,Tracy s Theme,1960.0
