Artist(s),Query,Rank,Song,Year
The Ray Charles Singers,track:Love Me with All Your Heart (Cuando Calienta El Sol) artist:The Ray Charles Singers,19,Love Me with All Your Heart (Cuando Calienta El Sol),1964.0
Betty Everett  &  Jerry Butler,track:Let It Be Me artist:Betty Everett  &  Jerry Butler,34,Let It Be Me,1964.0
