Artist(s),Query,Rank,Song,Year
"Bryan Adams  ,  Rod Stewart  and  Sting","track:All for Love artist:Bryan Adams  ,  Rod Stewart  and  Sting",8,All for Love,1994.0
Mariah Carey,"track:Without You  "" / ""  Never Forget You artist:Mariah Carey",16,"Without You  "" / ""  Never Forget You",1994.0
Luther Vandross  and  Mariah Carey,track:Endless Love artist:Luther Vandross  and  Mariah Carey,56,Endless Love,1994.0
