Artist(s),Query,Rank,Song,Year
Puff Daddy  ,track:Been Around the World artist:Puff Daddy  ,19,Been Around the World,1998.0
Puff Daddy  ,track:Come with Me artist:Puff Daddy  ,47,Come with Me,1998.0
Sylk-E. Fyne  ,track:Romeo and Juliet artist:Sylk-E. Fyne  ,48,Romeo and Juliet,1998.0
Mýa  and  Sisqo,track:It s All About Me artist:Mýa  and  Sisqo,49,It s All About Me,1998.0
Divine,track:Lately artist:Divine,61,Lately,1998.0
Puff Daddy  ,track:Victory artist:Puff Daddy  ,68,Victory,1998.0
Jewel,"track:Foolish Games  "" / ""  You Were Meant for Me artist:Jewel",87,"Foolish Games  "" / ""  You Were Meant for Me",1998.0
