Artist(s),Query,Rank,Song,Year
Chairmen of the Board,track:Give Me Just a Little More Time artist:Chairmen of the Board,39,Give Me Just a Little More Time,1970.0
The Four Tops,track:Still Water (Love) artist:The Four Tops,58,Still Water (Love),1970.0
The Brotherhood of Man,track:United We Stand artist:The Brotherhood of Man,64,United We Stand,1970.0
100 Proof (Aged in Soul),track:Somebody s Been Sleeping artist:100 Proof (Aged in Soul),84,Somebody s Been Sleeping,1970.0
Tom Jones,track:Without Love (There Is Nothing) artist:Tom Jones,92,Without Love (There Is Nothing),1970.0
