Artist(s),Query,Rank,Song,Year
Frankie J  ,track:Obsession (No Es Amor) artist:Frankie J  ,33,Obsession (No Es Amor),2005.0
Young Jeezy  ,track:Soul Survivor artist:Young Jeezy  ,52,Soul Survivor,2005.0
Usher  and  Alicia Keys,track:My Boo artist:Usher  and  Alicia Keys,54,My Boo,2005.0
Jay-Z  and  Linkin Park,track:Numb/Encore artist:Jay-Z  and  Linkin Park,93,Numb/Encore,2005.0
