Artist(s),Query,Rank,Song,Year
Tony Orlando and Dawn,track:Tie a Yellow Ribbon Round the Ole Oak Tree artist:Tony Orlando and Dawn,1,Tie a Yellow Ribbon Round the Ole Oak Tree,1973.0
Sylvia Robinson,track:Pillow Talk artist:Sylvia Robinson,22,Pillow Talk,1973.0
Blue Ridge Rangers,track:Jambalaya (On the Bayou) artist:Blue Ridge Rangers,86,Jambalaya (On the Bayou),1973.0
Jud Strunk,track:Daisy a Day artist:Jud Strunk,89,Daisy a Day,1973.0
