Artist(s),Query,Rank,Song,Year
"Kanye West  ,  Big Sean  ,  Pusha T  and  2 Chainz","track:Mercy artist:Kanye West  ,  Big Sean  ,  Pusha T  and  2 Chainz",27,Mercy,2012.0
Pink,track:Blow Me (One Last Kiss) artist:Pink,37,Blow Me (One Last Kiss),2012.0
Owl City  and  Carly Rae Jepsen,track:Good Time artist:Owl City  and  Carly Rae Jepsen,38,Good Time,2012.0
Jay-Z  and  Kanye West,track:Niggas in Paris artist:Jay-Z  and  Kanye West,40,Niggas in Paris,2012.0
