Artist(s),Query,Rank,Song,Year
R. Kelly  and  Celine Dion,track:I m Your Angel artist:R. Kelly  and  Celine Dion,16,I m Your Angel,1999.0
Divine,track:Lately artist:Divine,31,Lately,1999.0
Puff Daddy  ,track:Satisfy You artist:Puff Daddy  ,95,Satisfy You,1999.0
Whitney Houston  and  Mariah Carey,track:When You Believe artist:Whitney Houston  and  Mariah Carey,99,When You Believe,1999.0
Alabama  and  'N Sync,track:(God Must Have Spent) A Little More Time on You artist:Alabama  and  'N Sync,100,(God Must Have Spent) A Little More Time on You,1999.0
