Artist(s),Query,Rank,Song,Year
Diddy – Dirty Money  ,track:Coming Home artist:Diddy – Dirty Money  ,38,Coming Home,2011.0
Brad Paisley  and  Carrie Underwood,track:Remind Me artist:Brad Paisley  and  Carrie Underwood,82,Remind Me,2011.0
