Artist(s),Query,Rank,Song,Year
Paula Abdul  and  The Wild Pair,track:Opposites Attract artist:Paula Abdul  and  The Wild Pair,14,Opposites Attract,1990.0
Linda Ronstadt  and  Aaron Neville,track:Don t Know Much artist:Linda Ronstadt  and  Aaron Neville,20,Don t Know Much,1990.0
Glenn Medeiros  and  Bobby Brown,track:She Ain t Worth It artist:Glenn Medeiros  and  Bobby Brown,24,She Ain t Worth It,1990.0
Michel'le,track:No More Lies artist:Michel'le,50,No More Lies,1990.0
Tyler Collins,track:Girls Nite Out artist:Tyler Collins,69,Girls Nite Out,1990.0
A'Me Lorain,track:Whole Wide World artist:A'Me Lorain,95,Whole Wide World,1990.0
