Artist(s),Query,Rank,Song,Year
"Cardi B  ,  Bad Bunny  and  J Balvin","track:I Like It artist:Cardi B  ,  Bad Bunny  and  J Balvin",7,I Like It,2018.0
"Zedd  ,  Maren Morris  and  Grey","track:The Middle artist:Zedd  ,  Maren Morris  and  Grey",8,The Middle,2018.0
Khalid  and  Normani,track:Love Lies artist:Khalid  and  Normani,19,Love Lies,2018.0
Lil Baby  and  Drake,track:Yes Indeed artist:Lil Baby  and  Drake,25,Yes Indeed,2018.0
"Migos  ,  Nicki Minaj  and  Cardi B","track:MotorSport artist:Migos  ,  Nicki Minaj  and  Cardi B",34,MotorSport,2018.0
ASAP Ferg  ,track:Plain Jane artist:ASAP Ferg  ,74,Plain Jane,2018.0
"Benny Blanco  ,  Halsey  and  Khalid","track:Eastside artist:Benny Blanco  ,  Halsey  and  Khalid",77,Eastside,2018.0
"Jay Rock  ,  Kendrick Lamar  ,  Future  and  James Blake","track:King s Dead artist:Jay Rock  ,  Kendrick Lamar  ,  Future  and  James Blake",79,King s Dead,2018.0
