Artist(s),Query,Rank,Song,Year
Shaggy,"track:Boombastic  "" / ""  In the Summertime artist:Shaggy",18,"Boombastic  "" / ""  In the Summertime",1995.0
Des'ree,track:You Gotta Be artist:Des'ree,20,You Gotta Be,1995.0
Subway  ,track:This Lil  Game We Play artist:Subway  ,68,This Lil  Game We Play,1995.0
Raphael Saadiq,track:Ask of You artist:Raphael Saadiq,83,Ask of You,1995.0
D'Angelo,track:Brown Sugar artist:D'Angelo,86,Brown Sugar,1995.0
N II U,track:I Miss You artist:N II U,96,I Miss You,1995.0
