Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,Somebody That I Used to Know,Gotye  ,2012,track:Somebody That I Used to Know artist:Gotye  ,4wCmqSrbyCgxEXROQE6vtV,77,2011-01-01
1,Somebody That I Used to Know,Gotye  ,2012,track:Somebody That I Used to Know artist:Gotye  ,2llbj6W90VcwPBSnfQXLrt,44,2012-01-01
1,Somebody That I Used to Know,Gotye  ,2012,track:Somebody That I Used to Know artist:Gotye  ,0RtMRbaqeadQFvlYxcAczv,37,2012-01-01
1,Somebody That I Used to Know,Gotye  ,2012,track:Somebody That I Used to Know artist:Gotye  ,5M6QQY0erG5hRmjuvAlLUD,34,2012-01-01
1,Somebody That I Used to Know,Gotye  ,2012,track:Somebody That I Used to Know artist:Gotye  ,1iDIw4DDH0d4BynkTnzBAY,27,2011-01-01
2,Call Me Maybe,Carly Rae Jepsen,2012,track:Call Me Maybe artist:Carly Rae Jepsen,3TGRqZ0a2l1LRblBkJoaDx,70,2012-01-01
2,Call Me Maybe,Carly Rae Jepsen,2012,track:Call Me Maybe artist:Carly Rae Jepsen,6d4d7n7aKfXHXi3uYoxI4H,0,2021-05-10
2,Call Me Maybe,Carly Rae Jepsen,2012,track:Call Me Maybe artist:Carly Rae Jepsen,0JxDtNqgfimhT37t9YAB7b,0,2021-05-10
2,Call Me Maybe,Carly Rae Jepsen,2012,track:Call Me Maybe artist:Carly Rae Jepsen,6wy1px9eBrAw4N7W57rTlO,0,2021-05-12
2,Call Me Maybe,Carly Rae Jepsen,2012,track:Call Me Maybe artist:Carly Rae Jepsen,6ol4ZSifr7r3Lb2a9L5ZAB,51,2012-01-01
3,We Are Young,Fun  ,2012,track:We Are Young artist:Fun  ,7a86XRg84qjasly9f6bPSD,73,2012-02-21
3,We Are Young,Fun  ,2012,track:We Are Young artist:Fun  ,5tbz0VnVwfF3jubvjDGdHo,43,2012-02-21
3,We Are Young,Fun  ,2012,track:We Are Young artist:Fun  ,6iYGkAU67Xyhr1sYQuYY4H,41,2020-04-07
3,We Are Young,Fun  ,2012,track:We Are Young artist:Fun  ,4fz20fbPHtJg8CLuxKOGFV,36,2012-02-21
3,We Are Young,Fun  ,2012,track:We Are Young artist:Fun  ,1TOIrGIGW0EumcukTr5v8Z,30,2012-03-19
4,Payphone,Maroon 5  ,2012,track:Payphone artist:Maroon 5  ,1LmN9SSHISbtp9LoaR5ZVJ,75,2012-01-01
4,Payphone,Maroon 5  ,2012,track:Payphone artist:Maroon 5  ,5kyA28ieYl85S2N4slUBIU,0,2021-05-12
4,Payphone,Maroon 5  ,2012,track:Payphone artist:Maroon 5  ,4P0osvTXoSYZZC2n8IFH3c,52,2012-01-01
4,Payphone,Maroon 5  ,2012,track:Payphone artist:Maroon 5  ,4cdgQp78RyRzI04Bmw8o44,48,2012-01-01
4,Payphone,Maroon 5  ,2012,track:Payphone artist:Maroon 5  ,6xwxBfr1BpYRtv8Y5z87tP,32,2012-06-01
5,Lights,Ellie Goulding,2012,track:Lights artist:Ellie Goulding,7gUpO6td4OOnu0Lf9vhcIV,60,2010
5,Lights,Ellie Goulding,2012,track:Lights artist:Ellie Goulding,11ozIUBoXAgRTVWelDn4pL,59,2010-01-01
5,Lights,Ellie Goulding,2012,track:Lights artist:Ellie Goulding,3nPpCn5nYTMg0ajmzv57Jq,50,2011-01-01
5,Lights,Ellie Goulding,2012,track:Lights artist:Ellie Goulding,4qxUFzBKlmP98kIRKFszju,49,2011-01-01
5,Lights,Ellie Goulding,2012,track:Lights artist:Ellie Goulding,5aTsxlQlq0vIedDWZoqMWN,64,2010-01-01
6,Glad You Came,The Wanted,2012,track:Glad You Came artist:The Wanted,3AGOgQzp0YcPH41u9p7dOp,70,2012-01-01
6,Glad You Came,The Wanted,2012,track:Glad You Came artist:The Wanted,0dw7G0QDuW7UwyL0boHKMU,44,2012-01-01
6,Glad You Came,The Wanted,2012,track:Glad You Came artist:The Wanted,3ZShCgwUuSNcd3iDomFvbE,51,2012-01-01
6,Glad You Came,The Wanted,2012,track:Glad You Came artist:The Wanted,6pZowwAC1A7qNLTp2g3ON4,37,2011-01-01
