Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,Bridge Over Troubled Water,Simon & Garfunkel,1970,track:Bridge Over Troubled Water artist:Simon & Garfunkel,6l8EbYRtQMgKOyc1gcDHF9,71,1970-01-26
1,Bridge Over Troubled Water,Simon & Garfunkel,1970,track:Bridge Over Troubled Water artist:Simon & Garfunkel,0582nYCaMnDU3QrwhVECCw,39,1982-02-16
1,Bridge Over Troubled Water,Simon & Garfunkel,1970,track:Bridge Over Troubled Water artist:Simon & Garfunkel,16hJH6jYU1FfWyiEXNOLIs,34,1972-06-14
1,Bridge Over Troubled Water,Simon & Garfunkel,1970,track:Bridge Over Troubled Water artist:Simon & Garfunkel,0Bi9EKQ7Fv8lX9SKpKUw7G,34,2010-03-01
1,Bridge Over Troubled Water,Simon & Garfunkel,1970,track:Bridge Over Troubled Water artist:Simon & Garfunkel,2BBk6ixfrzp4NJDP8D68XM,32,2008-03-25
2,(They Long to Be) Close to You,The Carpenters,1970,track:(They Long to Be) Close to You artist:The Carpenters,5JgDMH2jLvHzdNSr5Yzvj4,4,1974-01-01
2,(They Long to Be) Close to You,The Carpenters,1970,track:(They Long to Be) Close to You artist:The Carpenters,2KYq33qvnIN5sFvDA5uL22,0,2010-05-11
2,(They Long to Be) Close to You,The Carpenters,1970,track:(They Long to Be) Close to You artist:The Carpenters,2yzdU0pXiOSnLlgWSHNV7q,0,2011-03-08
2,(They Long to Be) Close to You,The Carpenters,1970,track:(They Long to Be) Close to You artist:The Carpenters,6G3PROOXXLN6lkXdNGobM8,0,2011-02-08
2,(They Long to Be) Close to You,The Carpenters,1970,track:(They Long to Be) Close to You artist:The Carpenters,17px1rS5wJTAoZIsWYY6uw,0,2010-04-12
3,American Woman,The Guess Who,1970,track:American Woman artist:The Guess Who,3LQPTJEqOfljGBxmpgUnoC,64,1970-01-01
3,American Woman,The Guess Who,1970,track:American Woman artist:The Guess Who,5LPGZnsy07YNxeuTI1X3RT,51,2003-05-06
3,American Woman,The Guess Who,1970,track:American Woman artist:The Guess Who,0emHuukZSuaOzOlsAWHj2W,49,1970-01-01
3,American Woman,The Guess Who,1970,track:American Woman artist:The Guess Who,2loctOuEydT8m8V0XsbPsU,40,1971
3,American Woman,The Guess Who,1970,track:American Woman artist:The Guess Who,5r4RqhXlclyOBImN8I57R0,32,1971
4,Raindrops Keep Fallin  on My Head,B.J. Thomas,1970,track:Raindrops Keep Fallin  on My Head artist:B.J. Thomas,0zRtBDhwtIFTfoK2HuURbM,58,2005
