Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,To Sir With Love,Lulu,1967,track:To Sir With Love artist:Lulu,0gBFr7N2D1GfhkXIIepIGG,49,1967-05-12
1,To Sir With Love,Lulu,1967,track:To Sir With Love artist:Lulu,5ox7YOS0Tovw2OIp1T4Ste,42,2003-01-01
1,To Sir With Love,Lulu,1967,track:To Sir With Love artist:Lulu,2WEkeChOSrQmk33ia7qynB,11,1967-05-12
1,To Sir With Love,Lulu,1967,track:To Sir With Love artist:Lulu,739CWk0byNXcR8kDHjeRbw,9,1967-05-12
1,To Sir With Love,Lulu,1967,track:To Sir With Love artist:Lulu,61QYBPXTP6VofjdINPEzmn,11,2002-12-06
2,The Letter,The Box Tops,1967,track:The Letter artist:The Box Tops,6RJK553YhstRzyKA4mug09,64,1967
2,The Letter,The Box Tops,1967,track:The Letter artist:The Box Tops,7DoeuhSbv4ROvD4lkNFdEg,27,2018-11-30
2,The Letter,The Box Tops,1967,track:The Letter artist:The Box Tops,1wCn7slsVCtdVYRnXahIv5,25,1996-10-01
2,The Letter,The Box Tops,1967,track:The Letter artist:The Box Tops,1oTGswtkG3jsIGH4hsT5s9,24,2017-09-15
2,The Letter,The Box Tops,1967,track:The Letter artist:The Box Tops,3j4QPgiDGGipjfLgtikzrL,31,1967
3,Ode to Billie Joe,Bobbie Gentry,1967,track:Ode to Billie Joe artist:Bobbie Gentry,4FdDorlbJTVHcH3djLbIfn,56,1967-08-21
3,Ode to Billie Joe,Bobbie Gentry,1967,track:Ode to Billie Joe artist:Bobbie Gentry,06AWA76bqrOD7k4UxCPS3K,16,2005-01-01
3,Ode to Billie Joe,Bobbie Gentry,1967,track:Ode to Billie Joe artist:Bobbie Gentry,4AdI5Bb0Oq0yBJr2H1ctKZ,16,2020-02-28
3,Ode to Billie Joe,Bobbie Gentry,1967,track:Ode to Billie Joe artist:Bobbie Gentry,1RqdlofSKipp1HltBvCqXi,14,2019-11-15
3,Ode to Billie Joe,Bobbie Gentry,1967,track:Ode to Billie Joe artist:Bobbie Gentry,3ZsLNrysR0UFbjcaIEcDTj,12,2000-01-01
4,Windy,The Association,1967,track:Windy artist:The Association,1lHiKWnlJtjzA4vHnjAr39,48,1967
4,Windy,The Association,1967,track:Windy artist:The Association,6RUpOheT93fUdI508K5w6U,41,2006-04-11
4,Windy,The Association,1967,track:Windy artist:The Association,3XvACX6sYu4bml5JdxGIaN,37,1968-11-26
4,Windy,The Association,1967,track:Windy artist:The Association,3nXslB6tksmKUJsIQ5ossd,26,2020-08-14
4,Windy,The Association,1967,track:Windy artist:The Association,0kBoPsQUWWuLjdaKMgCyHK,21,2017-08-10
5,I m a Believer,The Monkees,1967,track:I m a Believer artist:The Monkees,3G7tRC24Uh09Hmp1KZ7LQ2,74,1967-01-09
5,I m a Believer,The Monkees,1967,track:I m a Believer artist:The Monkees,1CSLeVCXmetBh8IkTPMFdL,59,2003
5,I m a Believer,The Monkees,1967,track:I m a Believer artist:The Monkees,4h2jrA7MTbFNk1HK1FYdak,54,1967-01-09
5,I m a Believer,The Monkees,1967,track:I m a Believer artist:The Monkees,59WvG4zFMQqG6oOEZK9gB4,33,2017-08-10
5,I m a Believer,The Monkees,1967,track:I m a Believer artist:The Monkees,4S7jIHvp7nhq9gfOuQk9Nb,29,2016-11-11
6,Light My Fire,The Doors,1967,track:Light My Fire artist:The Doors,5uvosCdMlFdTXhoazkTI5R,73,1967-01-04
6,Light My Fire,The Doors,1967,track:Light My Fire artist:The Doors,7aghcqWLL9hGMIb0VFdbyD,43,1967
6,Light My Fire,The Doors,1967,track:Light My Fire artist:The Doors,6l8BhUGXyQWFGWJY5tohDC,39,2017-03-31
6,Light My Fire,The Doors,1967,track:Light My Fire artist:The Doors,4NM09wCZmvxhWcOcdWll6H,40,2008-01-28
6,Light My Fire,The Doors,1967,track:Light My Fire artist:The Doors,6tGlPE4QClYVNdaRFxV6Iy,36,2007-09-25
7,Somethin  Stupid,Frank  &  Nancy Sinatra,1967,track:Somethin  Stupid artist:Frank  &  Nancy Sinatra,4feXcsElKIVsGwkbnTHAfV,70,1967-08
7,Somethin  Stupid,Frank  &  Nancy Sinatra,1967,track:Somethin  Stupid artist:Frank  &  Nancy Sinatra,6wdWtY9TSHJkJcqrZYXszh,39,2008-01-01
7,Somethin  Stupid,Frank  &  Nancy Sinatra,1967,track:Somethin  Stupid artist:Frank  &  Nancy Sinatra,6ExgLf5lc4XRiRwFYenQzP,26,2015-04-21
7,Somethin  Stupid,Frank  &  Nancy Sinatra,1967,track:Somethin  Stupid artist:Frank  &  Nancy Sinatra,3odEjBSg8o6yH4YJOjYzHX,11,2006-11-07
7,Somethin  Stupid,Frank  &  Nancy Sinatra,1967,track:Somethin  Stupid artist:Frank  &  Nancy Sinatra,7fy7bBVVlU5Fh3V2ZcZyse,8,2020-02-28
8,Happy Together,The Turtles,1967,track:Happy Together artist:The Turtles,1JO1xLtVc8mWhIoE3YaCL0,74,1967
8,Happy Together,The Turtles,1967,track:Happy Together artist:The Turtles,2admbUc576sC6M0QeUkg2C,43,2016-08-19
8,Happy Together,The Turtles,1967,track:Happy Together artist:The Turtles,1ZBY8XeuUKm2uAnFY9zYqq,30,2009-04-21
8,Happy Together,The Turtles,1967,track:Happy Together artist:The Turtles,1xfjOKtc9CbDIkrzLriAL4,18,1967-08-19
8,Happy Together,The Turtles,1967,track:Happy Together artist:The Turtles,2inqR5rCpsGc85pPOsVIQ7,11,1967-08-19
9,Groovin ,The Young Rascals,1967,track:Groovin  artist:The Young Rascals,3c2kMiSB86tVq1J4oULmvL,58,1967
9,Groovin ,The Young Rascals,1967,track:Groovin  artist:The Young Rascals,6krYiEjgGJaMJMTjW7OJ7L,45,2017-08-10
9,Groovin ,The Young Rascals,1967,track:Groovin  artist:The Young Rascals,3UB6yOPeImCCUuQzaggho1,37,1967
9,Groovin ,The Young Rascals,1967,track:Groovin  artist:The Young Rascals,3aSNNi8Xp5WGv7EcQNM7RW,35,1990-07-23
9,Groovin ,The Young Rascals,1967,track:Groovin  artist:The Young Rascals,6aNoTkefuywE8pR2AZ3OcW,17,2002-01-01
10,Can t Take My Eyes off You,Frankie Valli,1967,track:Can t Take My Eyes off You artist:Frankie Valli,6ft9PAgNOjmZ2kFVP7LGqb,69,2003-01-14
10,Can t Take My Eyes off You,Frankie Valli,1967,track:Can t Take My Eyes off You artist:Frankie Valli,0bfvHnWWOeU1U5XeKyVLbW,69,1967
10,Can t Take My Eyes off You,Frankie Valli,1967,track:Can t Take My Eyes off You artist:Frankie Valli,13jJu9zoXOQnqiLaJsg41K,44,2017-08-10
10,Can t Take My Eyes off You,Frankie Valli,1967,track:Can t Take My Eyes off You artist:Frankie Valli,24U5Bm16E8J5EurxbiLjDn,38,1981
10,Can t Take My Eyes off You,Frankie Valli,1967,track:Can t Take My Eyes off You artist:Frankie Valli,2z8uZHoLhb16fIFwdeUgQm,32,2007-06-04
11,Little Bit O  Soul,The Music Explosion,1967,track:Little Bit O  Soul artist:The Music Explosion,5RvHBonRc1HfpOlf8jpA2L,11,1990-01-31
11,Little Bit O  Soul,The Music Explosion,1967,track:Little Bit O  Soul artist:The Music Explosion,44cjo06qPD7UfZLZi29UXk,9,2017-12-15
11,Little Bit O  Soul,The Music Explosion,1967,track:Little Bit O  Soul artist:The Music Explosion,2GmhHqPg5xABPMERMewreq,0,2016-09-22
11,Little Bit O  Soul,The Music Explosion,1967,track:Little Bit O  Soul artist:The Music Explosion,5yp7ZLKctYBwBcxIXKBcMo,0,2015-09-15
11,Little Bit O  Soul,The Music Explosion,1967,track:Little Bit O  Soul artist:The Music Explosion,6hB3S9Soxx8owlTO8ETvhF,0,2015-09-15
12,I Think We re Alone Now,Tommy James and the Shondells,1967,track:I Think We re Alone Now artist:Tommy James and the Shondells,3AXDLGI5TIYi72JcYFvNpv,55,1967-01-05
12,I Think We re Alone Now,Tommy James and the Shondells,1967,track:I Think We re Alone Now artist:Tommy James and the Shondells,4y1yjSFoG4orOLnIxq3DZn,30,2002-06-04
12,I Think We re Alone Now,Tommy James and the Shondells,1967,track:I Think We re Alone Now artist:Tommy James and the Shondells,0jfOA16bjZxrkIzibPcl6U,31,1989
12,I Think We re Alone Now,Tommy James and the Shondells,1967,track:I Think We re Alone Now artist:Tommy James and the Shondells,5IMrphydWvHDuJsqgXouvs,19,1967-01-05
12,I Think We re Alone Now,Tommy James and the Shondells,1967,track:I Think We re Alone Now artist:Tommy James and the Shondells,0wvufVMFTJTGmond1Uyuar,15,2017-03-17
13,Respect,Aretha Franklin,1967,track:Respect artist:Aretha Franklin,7s25THrKz86DM225dOYwnr,73,1967-03-10
13,Respect,Aretha Franklin,1967,track:Respect artist:Aretha Franklin,5AoTuHE5P5bvC7BBppYnja,64,2007-10-30
13,Respect,Aretha Franklin,1967,track:Respect artist:Aretha Franklin,1LI7vkkJ5EKLl6MpZBWZF2,41,2007-04-09
13,Respect,Aretha Franklin,1967,track:Respect artist:Aretha Franklin,3XIobZuLDpWea6Ig36ItRw,45,1994-03-22
13,Respect,Aretha Franklin,1967,track:Respect artist:Aretha Franklin,1emADiVu4lqriaqyiabu9o,40,2007-10-29
14,I Was Made to Love Her,Stevie Wonder,1967,track:I Was Made to Love Her artist:Stevie Wonder,2aCKBrLn7rbhStk5k4FwnF,57,1967-08-01
14,I Was Made to Love Her,Stevie Wonder,1967,track:I Was Made to Love Her artist:Stevie Wonder,35Agv76BTtZGXlXutlfuYj,36,1967-08-01
14,I Was Made to Love Her,Stevie Wonder,1967,track:I Was Made to Love Her artist:Stevie Wonder,0oche7ouDr39n1yWFPVWat,23,2007-08-21
14,I Was Made to Love Her,Stevie Wonder,1967,track:I Was Made to Love Her artist:Stevie Wonder,1yuKeyyO5NHAHQi0tWgIlA,26,2002-10-29
14,I Was Made to Love Her,Stevie Wonder,1967,track:I Was Made to Love Her artist:Stevie Wonder,7iqx86Dkqswx7Hf14IkNq7,22,1999-11-23
15,Come Back When You Grow Up,Bobby Vee,1967,track:Come Back When You Grow Up artist:Bobby Vee,56syoOlt0eFhDd26cPSoee,35,1967-01-01
15,Come Back When You Grow Up,Bobby Vee,1967,track:Come Back When You Grow Up artist:Bobby Vee,0mxTuoTdOc7cJZYAqCiGG8,22,2011-01-01
15,Come Back When You Grow Up,Bobby Vee,1967,track:Come Back When You Grow Up artist:Bobby Vee,20U2z9sf2mnF8OgQMrVixh,15,2008-01-01
15,Come Back When You Grow Up,Bobby Vee,1967,track:Come Back When You Grow Up artist:Bobby Vee,2XhqxaR7CiWTUw1ldSMCCb,7,2009-10-26
16,Kind of a Drag,The Buckinghams,1967,track:Kind of a Drag artist:The Buckinghams,3RnsnfrquBAy6kIejQzc2C,42,2015
16,Kind of a Drag,The Buckinghams,1967,track:Kind of a Drag artist:The Buckinghams,5NfMMASaRz01fltWjbYoLu,35,1989-04-25
16,Kind of a Drag,The Buckinghams,1967,track:Kind of a Drag artist:The Buckinghams,65wUTKQhWvfCoGvayiJ4du,26,1967
16,Kind of a Drag,The Buckinghams,1967,track:Kind of a Drag artist:The Buckinghams,0eo6DbG3X03HPltJwpdvSu,18,1991-08-27
16,Kind of a Drag,The Buckinghams,1967,track:Kind of a Drag artist:The Buckinghams,2CLZ3fQKv00T6TwSuB2309,5,1967-02-08
17,Sweet Soul Music,Arthur Conley,1967,track:Sweet Soul Music artist:Arthur Conley,0pvA063uNyGQFp7DNtmk0P,60,2005-04-19
17,Sweet Soul Music,Arthur Conley,1967,track:Sweet Soul Music artist:Arthur Conley,4qFDpiappWOfAGYKe3S8Dl,0,2021-05-07
17,Sweet Soul Music,Arthur Conley,1967,track:Sweet Soul Music artist:Arthur Conley,6Hk7oScDxINuiQWqB7edhi,0,2021-05-07
17,Sweet Soul Music,Arthur Conley,1967,track:Sweet Soul Music artist:Arthur Conley,0yTADvqkVj5jZhSBV2uN72,0,2021-05-07
17,Sweet Soul Music,Arthur Conley,1967,track:Sweet Soul Music artist:Arthur Conley,4iV9451W6WrY0kJYgKZua6,34,2017-08-10
18,Expressway to Your Heart,The Soul Survivors,1967,track:Expressway to Your Heart artist:The Soul Survivors,5BklSzHGznyYMUN52AClsx,37,1967-11-15
18,Expressway to Your Heart,The Soul Survivors,1967,track:Expressway to Your Heart artist:The Soul Survivors,5SUE840XJrECVy1WQZqupO,8,1967-11-15
