Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,Wooly Bully,Sam the Sham and the Pharaohs,1965,track:Wooly Bully artist:Sam the Sham and the Pharaohs,0SRkuudTEWe2HOloI1Nssq,47,2011-01-01
1,Wooly Bully,Sam the Sham and the Pharaohs,1965,track:Wooly Bully artist:Sam the Sham and the Pharaohs,2mlYLbSQjh5bdbLeZe3yB1,47,2015-11-05
1,Wooly Bully,Sam the Sham and the Pharaohs,1965,track:Wooly Bully artist:Sam the Sham and the Pharaohs,4MlqFlThHO8r7vuwQI4jqZ,0,2021-05-07
1,Wooly Bully,Sam the Sham and the Pharaohs,1965,track:Wooly Bully artist:Sam the Sham and the Pharaohs,3JTpSzfNBHhK6qWoJVMDTQ,18,2003-01-01
1,Wooly Bully,Sam the Sham and the Pharaohs,1965,track:Wooly Bully artist:Sam the Sham and the Pharaohs,4nqph2U4HR7ft0A3eIt8GY,29,2006-06-27
2,I Can t Help Myself (Sugar Pie Honey Bunch),Four Tops,1965,track:I Can t Help Myself (Sugar Pie Honey Bunch) artist:Four Tops,6b6IMqP565TbtFFZg9iFf3,73,1965
2,I Can t Help Myself (Sugar Pie Honey Bunch),Four Tops,1965,track:I Can t Help Myself (Sugar Pie Honey Bunch) artist:Four Tops,3aSWQJcWnnqgwYbAgidvlV,65,2008-01-01
2,I Can t Help Myself (Sugar Pie Honey Bunch),Four Tops,1965,track:I Can t Help Myself (Sugar Pie Honey Bunch) artist:Four Tops,1qH7bIQt11i0zECURIHJZc,1,2021-05-07
2,I Can t Help Myself (Sugar Pie Honey Bunch),Four Tops,1965,track:I Can t Help Myself (Sugar Pie Honey Bunch) artist:Four Tops,0GiWjFOVWv3mVaNCxkgqlq,45,1997-01-01
2,I Can t Help Myself (Sugar Pie Honey Bunch),Four Tops,1965,track:I Can t Help Myself (Sugar Pie Honey Bunch) artist:Four Tops,4QUvajWQkkx6nLYCXYjaXk,25,1999-01-01
3,(I Can t Get No) Satisfaction,The Rolling Stones,1965,track:(I Can t Get No) Satisfaction artist:The Rolling Stones,2PzU4IB8Dr6mxV3lHuaG34,77,1965-07-30
3,(I Can t Get No) Satisfaction,The Rolling Stones,1965,track:(I Can t Get No) Satisfaction artist:The Rolling Stones,5FKkbyGm42hw1y08l2knlO,60,1971-12-20
3,(I Can t Get No) Satisfaction,The Rolling Stones,1965,track:(I Can t Get No) Satisfaction artist:The Rolling Stones,1b6AW6uDrtrUN0Y6GJR45j,45,2004-07-12
3,(I Can t Get No) Satisfaction,The Rolling Stones,1965,track:(I Can t Get No) Satisfaction artist:The Rolling Stones,2aBM9gLAhJgaUIo7HVZ75j,39,2017-12-01
3,(I Can t Get No) Satisfaction,The Rolling Stones,1965,track:(I Can t Get No) Satisfaction artist:The Rolling Stones,2a8lZbMfqqYPRdnFxC0h36,41,1966-01-01
4,You Were on My Mind,We Five,1965,track:You Were on My Mind artist:We Five,36ckFm0oicmvX8bWEErIHd,42,2010-01-01
4,You Were on My Mind,We Five,1965,track:You Were on My Mind artist:We Five,4DgTGGtVVTflDkSn7bk6yZ,12,2010-01-01
4,You Were on My Mind,We Five,1965,track:You Were on My Mind artist:We Five,20kSGSKT6g5WWxLmyycT6O,12,2010-01-01
5,You ve Lost That Lovin  Feelin ,The Righteous Brothers,1965,track:You ve Lost That Lovin  Feelin  artist:The Righteous Brothers,6AeyHqzNHJthYJbn0tvJ4b,63,1965-10-20
5,You ve Lost That Lovin  Feelin ,The Righteous Brothers,1965,track:You ve Lost That Lovin  Feelin  artist:The Righteous Brothers,5GMw6X6BbCDGO9gApQYRSa,58,1990
5,You ve Lost That Lovin  Feelin ,The Righteous Brothers,1965,track:You ve Lost That Lovin  Feelin  artist:The Righteous Brothers,7ifDMAJEJslLnJwnndYjVn,34,2009-01-01
5,You ve Lost That Lovin  Feelin ,The Righteous Brothers,1965,track:You ve Lost That Lovin  Feelin  artist:The Righteous Brothers,6utJoAVVcJJ7kE9dqMOrGd,23,2006-06-27
