Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,Tonight s the Night (Gonna Be Alright),Rod Stewart,1977,track:Tonight s the Night (Gonna Be Alright) artist:Rod Stewart,10LRRKPmx8uHcSxLVWK0ct,55,1976
1,Tonight s the Night (Gonna Be Alright),Rod Stewart,1977,track:Tonight s the Night (Gonna Be Alright) artist:Rod Stewart,4h0Mdpmg9VXarbLIGPqJUs,41,1976
1,Tonight s the Night (Gonna Be Alright),Rod Stewart,1977,track:Tonight s the Night (Gonna Be Alright) artist:Rod Stewart,52YNr0Hzvx9SbKjzbq49XL,30,2008-11-17
1,Tonight s the Night (Gonna Be Alright),Rod Stewart,1977,track:Tonight s the Night (Gonna Be Alright) artist:Rod Stewart,6sIuXT6JNDeLJ5achFADtz,37,1996-11-12
1,Tonight s the Night (Gonna Be Alright),Rod Stewart,1977,track:Tonight s the Night (Gonna Be Alright) artist:Rod Stewart,0lx8aBNpSXclwOS44SVBVQ,31,2021-02-12
2,I Just Want to Be Your Everything,Andy Gibb,1977,track:I Just Want to Be Your Everything artist:Andy Gibb,5EdlwzcgIAYs2HGvOnczPN,60,1977-09-09
2,I Just Want to Be Your Everything,Andy Gibb,1977,track:I Just Want to Be Your Everything artist:Andy Gibb,1v2lPBvWjO9ywTzIeULYCQ,27,2018-04-13
2,I Just Want to Be Your Everything,Andy Gibb,1977,track:I Just Want to Be Your Everything artist:Andy Gibb,49l7qWoep8QoMsvvo1PTNb,11,2020-08-21
2,I Just Want to Be Your Everything,Andy Gibb,1977,track:I Just Want to Be Your Everything artist:Andy Gibb,3le2XDYQJ3eSjgQBa5dmHe,9,2019-07-12
2,I Just Want to Be Your Everything,Andy Gibb,1977,track:I Just Want to Be Your Everything artist:Andy Gibb,3r00Y5F0LBF18PICamjxe8,3,2020-09-18
3,Best of My Love,The Emotions,1977,track:Best of My Love artist:The Emotions,2M2WJ7gBlcKNxdhyfPp9zY,68,1977-06-10
3,Best of My Love,The Emotions,1977,track:Best of My Love artist:The Emotions,6UjlpJhUqOQqv0hrb38IDI,57,1996
3,Best of My Love,The Emotions,1977,track:Best of My Love artist:The Emotions,7bznzicO9bLBhe6SufE0Vw,45,2010-03-01
3,Best of My Love,The Emotions,1977,track:Best of My Love artist:The Emotions,1u03aI4x7YxAjVFMMqIDNT,31,1999-10-08
3,Best of My Love,The Emotions,1977,track:Best of My Love artist:The Emotions,1NplIr1MAmlHsXnIEJzXRI,22,2014-02-10
5,Angel in Your Arms,Hot,1977,track:Angel in Your Arms artist:Hot,1qOwgAjki5VN0G2kXEUCLG,27,1988
