Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,Call Me,Blondie,1980,track:Call Me artist:Blondie,7HKxTNVlkHsfMLhigmhC0I,66,2004-01-01
1,Call Me,Blondie,1980,track:Call Me artist:Blondie,0vLwL4xuJ3s7SeaCdvMqkY,60,1981-10-31
1,Call Me,Blondie,1980,track:Call Me artist:Blondie,6wzbWsPbfIR0nBjSqdbV7m,39,1980-11-01
1,Call Me,Blondie,1980,track:Call Me artist:Blondie,0FkY5kxtIIwqzXdsYEngUf,32,2002-01-01
1,Call Me,Blondie,1980,track:Call Me artist:Blondie,2Rp5y2FVCyY5L57iQHcx50,32,2006-01-01
3,Magic,Olivia Newton-John,1980,track:Magic artist:Olivia Newton-John,1H5A1GNZUv4eUf1t9RFdid,44,2002-02-05
3,Magic,Olivia Newton-John,1980,track:Magic artist:Olivia Newton-John,56BSwBKWHYldQOgYLHiehs,40,1980-01-01
3,Magic,Olivia Newton-John,1980,track:Magic artist:Olivia Newton-John,14d4L1iSXXkgO1jJ8zu9M7,32,2008-01-01
3,Magic,Olivia Newton-John,1980,track:Magic artist:Olivia Newton-John,5Zpjf07lpZxADR0vWZnTtL,28,2015-03-03
4,Rock with You,Michael Jackson,1980,track:Rock with You artist:Michael Jackson,7oOOI85fVQvVnK5ynNMdW7,74,1979-08-10
4,Rock with You,Michael Jackson,1980,track:Rock with You artist:Michael Jackson,5yxIenY5kSLlgTr3XGYw9p,56,1995-06-16
4,Rock with You,Michael Jackson,1980,track:Rock with You artist:Michael Jackson,36eWbpGbM3DxpErvZImHgD,50,2005-07-19
4,Rock with You,Michael Jackson,1980,track:Rock with You artist:Michael Jackson,0mckKOsMlBypUfD6gzdNhY,40,2003-11-18
4,Rock with You,Michael Jackson,1980,track:Rock with You artist:Michael Jackson,0C5fyTHHj75kMc1VijJzMA,6,2009-09-08
5,Do That to Me One More Time,Captain & Tennille,1980,track:Do That to Me One More Time artist:Captain & Tennille,0m4jVVZrsv0bLkAr1uM6UG,66,1979-01-01
5,Do That to Me One More Time,Captain & Tennille,1980,track:Do That to Me One More Time artist:Captain & Tennille,0rxnEy8c8jsfvdBTEeCU1c,0,2021-05-07
5,Do That to Me One More Time,Captain & Tennille,1980,track:Do That to Me One More Time artist:Captain & Tennille,2gFnSurc2aUja58m4Jq41f,35,2001-01-01
5,Do That to Me One More Time,Captain & Tennille,1980,track:Do That to Me One More Time artist:Captain & Tennille,4OqbIfA4l8zGnGBnjBBlFg,23,2005-01-01
5,Do That to Me One More Time,Captain & Tennille,1980,track:Do That to Me One More Time artist:Captain & Tennille,5vyNCVCLgr4rdKd7rutDfM,11,2007-01-01
6,Crazy Little Thing Called Love,Queen,1980,track:Crazy Little Thing Called Love artist:Queen,35ItUJlMtjOQW3SSiTCrrw,67,1980-06-27
6,Crazy Little Thing Called Love,Queen,1980,track:Crazy Little Thing Called Love artist:Queen,0xqaviScnf68cFZf0caB4V,44,2018-10-19
6,Crazy Little Thing Called Love,Queen,1980,track:Crazy Little Thing Called Love artist:Queen,61cJFE80UmxuAr47TZ1hik,43,1981-10-26
6,Crazy Little Thing Called Love,Queen,1980,track:Crazy Little Thing Called Love artist:Queen,2NpKgRCZfFb8fVmvk16iMx,39,1980-06-27
6,Crazy Little Thing Called Love,Queen,1980,track:Crazy Little Thing Called Love artist:Queen,6LRIeceMebqu7TmyyXCRTA,37,2011-01-01
7,Coming Up,Paul McCartney,1980,track:Coming Up artist:Paul McCartney,4Ku6X72Q815qNd7ChuiDdD,49,1980-05-16
7,Coming Up,Paul McCartney,1980,track:Coming Up artist:Paul McCartney,3HCQPIYsCT6JBf79KdYtA4,30,1993-01-01
7,Coming Up,Paul McCartney,1980,track:Coming Up artist:Paul McCartney,1gQ2I5ZB1dQlVmIBPDhdHv,25,1987-11-02
7,Coming Up,Paul McCartney,1980,track:Coming Up artist:Paul McCartney,0Ix1999mTT1A3TF6Bywgv5,28,1980-05-16
7,Coming Up,Paul McCartney,1980,track:Coming Up artist:Paul McCartney,1SGY7icr8DsQHb1Yo62PZO,28,1980-05-16
8,Funkytown,Lipps Inc,1980,track:Funkytown artist:Lipps Inc,0KQh7AuuZvpTKWhcJa8Pbr,62,1996-04-04
8,Funkytown,Lipps Inc,1980,track:Funkytown artist:Lipps Inc,3JU7GqkbT5S51rgCbYJ20t,66,2004-05-19
8,Funkytown,Lipps Inc,1980,track:Funkytown artist:Lipps Inc,5fbuzpBKuAiRnprx9wpIi8,1,2021-05-07
8,Funkytown,Lipps Inc,1980,track:Funkytown artist:Lipps Inc,24Dls5Kr9vkYQbXmsHAQys,48,2021-04-30
8,Funkytown,Lipps Inc,1980,track:Funkytown artist:Lipps Inc,5dIKF6uVJ206hj0pO0gg0I,50,2003-01-01
9,It s Still Rock and Roll to Me,Billy Joel,1980,track:It s Still Rock and Roll to Me artist:Billy Joel,64UioB4Nmwgn2f4cbIpAkl,67,1980-03-12
9,It s Still Rock and Roll to Me,Billy Joel,1980,track:It s Still Rock and Roll to Me artist:Billy Joel,7LbOQt7isddrw3Bs3Czl7E,57,2001-10-02
9,It s Still Rock and Roll to Me,Billy Joel,1980,track:It s Still Rock and Roll to Me artist:Billy Joel,5yKtR2R8FsoZ64HKSpwaQr,31,2010
9,It s Still Rock and Roll to Me,Billy Joel,1980,track:It s Still Rock and Roll to Me artist:Billy Joel,7l7Z8o9JeetyPgaDFgEiPz,30,1985-06-29
9,It s Still Rock and Roll to Me,Billy Joel,1980,track:It s Still Rock and Roll to Me artist:Billy Joel,6y1MiuB3zS74YHMlvZxwdY,24,2006-06-13
10,The Rose,Bette Midler,1980,track:The Rose artist:Bette Midler,562JrM9b7jiu8LgzV62x3o,68,1979
10,The Rose,Bette Midler,1980,track:The Rose artist:Bette Midler,5iUzEn2QzBW0KEWNQO1KQC,45,2008-01-09
10,The Rose,Bette Midler,1980,track:The Rose artist:Bette Midler,1Yp8dnd7cF56E4sojAquSx,30,1993
10,The Rose,Bette Midler,1980,track:The Rose artist:Bette Midler,0d3qQLw7KJRGu1ikIuu26A,23,2015-12-04
10,The Rose,Bette Midler,1980,track:The Rose artist:Bette Midler,35JdH47CZudp4AuXZnrS31,21,1995-06-27
11,Escape (The Piña Colada Song),Rupert Holmes,1980,track:Escape (The Piña Colada Song) artist:Rupert Holmes,5IMtdHjJ1OtkxbGe4zfUxQ,74,1979-01-01
11,Escape (The Piña Colada Song),Rupert Holmes,1980,track:Escape (The Piña Colada Song) artist:Rupert Holmes,2OodgrQjx6Ggn3yRA2Nvei,31,2007-01-01
11,Escape (The Piña Colada Song),Rupert Holmes,1980,track:Escape (The Piña Colada Song) artist:Rupert Holmes,1REZCqaScFvlosol2KRWXK,32,2019-06-14
11,Escape (The Piña Colada Song),Rupert Holmes,1980,track:Escape (The Piña Colada Song) artist:Rupert Holmes,15O2EtC4FWyAD8hWnEocir,23,2017-10-20
11,Escape (The Piña Colada Song),Rupert Holmes,1980,track:Escape (The Piña Colada Song) artist:Rupert Holmes,2E8mUhxhdpOMf0t9uXPaC1,17,2019-08-02
12,Cars,Gary Numan,1980,track:Cars artist:Gary Numan,4QQEzkxcONBthDLfzqIh9S,63,1979-09-07
12,Cars,Gary Numan,1980,track:Cars artist:Gary Numan,4zejia18gcGShkkzdDvhWE,19,2009-09-21
12,Cars,Gary Numan,1980,track:Cars artist:Gary Numan,03na9sWKGXIudg6HLdJVyO,21,1997-03-25
12,Cars,Gary Numan,1980,track:Cars artist:Gary Numan,4CLhlghUrGFm8V2TZQMRlR,19,2016-02-19
12,Cars,Gary Numan,1980,track:Cars artist:Gary Numan,0NhRaNgBIhU06G9aUji7kf,14,2006-03-07
13,Cruisin,Smokey Robinson,1980,track:Cruisin artist:Smokey Robinson,2gliw3L0oa4w8LqaHploje,63,1979-05-22
13,Cruisin,Smokey Robinson,1980,track:Cruisin artist:Smokey Robinson,3rpp2A5bFoZETJn3MHigBh,42,2004-01-01
