Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,Breathe,Faith Hill,2000,track:Breathe artist:Faith Hill,3y4LxiYMgDl4RethdzpmNe,66,1999-11-09
1,Breathe,Faith Hill,2000,track:Breathe artist:Faith Hill,2TYlCPSARkvifu7jvsG1B1,46,2007
1,Breathe,Faith Hill,2000,track:Breathe artist:Faith Hill,5PchJV1YlSysUVgnCP8w7c,13,2009-02-03
1,Breathe,Faith Hill,2000,track:Breathe artist:Faith Hill,66MY1l4CWuPgDuXuDSD7Ls,10,2005
2,Smooth,Santana  ,2000,track:Smooth artist:Santana  ,0n2SEXB2qoRQg171q7XqeW,69,1999-06-15
2,Smooth,Santana  ,2000,track:Smooth artist:Santana  ,2pX4FpOgwItRVPPUFdRcxA,64,1999
2,Smooth,Santana  ,2000,track:Smooth artist:Santana  ,3i3GeK0qLQybu4ah42YmCY,53,2007-09-25
2,Smooth,Santana  ,2000,track:Smooth artist:Santana  ,4WND3h9Yi3zqQrHkugZBvS,40,2017-09-29
2,Smooth,Santana  ,2000,track:Smooth artist:Santana  ,6vJsYwJbeamnmxrSkSuc8S,32,2014-06-10
3,Maria Maria,Santana  ,2000,track:Maria Maria artist:Santana  ,3XKIUb7HzIF1Vu9usunMzc,67,1999-06-15
3,Maria Maria,Santana  ,2000,track:Maria Maria artist:Santana  ,567UAkWoLBqZ709s3Qcbze,60,1999
3,Maria Maria,Santana  ,2000,track:Maria Maria artist:Santana  ,3fucYASejkSMwtAYjFRKlF,51,2007-09-25
3,Maria Maria,Santana  ,2000,track:Maria Maria artist:Santana  ,1K1eWNYfVLhbPJXmJG45Zu,32,2003-12-15
3,Maria Maria,Santana  ,2000,track:Maria Maria artist:Santana  ,2v6cghQwQpCs0uwt3pT3pn,32,2014-09-05
4,I Wanna Know,Joe,2000,track:I Wanna Know artist:Joe,1m2xMsxbtxv21Brome189p,65,2000-04-18
4,I Wanna Know,Joe,2000,track:I Wanna Know artist:Joe,6ctr1K7KzKErxbfGAynL8A,55,2008-10-14
4,I Wanna Know,Joe,2000,track:I Wanna Know artist:Joe,5Ncl2SwuTDCCAucXkoJ6w6,27,2016-10-21
4,I Wanna Know,Joe,2000,track:I Wanna Know artist:Joe,68quMdThajBGIvKvtcjvfD,30,2013-06-24
4,I Wanna Know,Joe,2000,track:I Wanna Know artist:Joe,25vfbS1menuNxfZz2Ih7uh,18,2018-02-02
5,Everything You Want,Vertical Horizon,2000,track:Everything You Want artist:Vertical Horizon,4cKGldbhGJniI8BrB3K6tb,64,1999-06-14
5,Everything You Want,Vertical Horizon,2000,track:Everything You Want artist:Vertical Horizon,1IorICrKm1Z2BUNMaJjyCf,14,2010-11-09
6,Say My Name,Destiny's Child,2000,track:Say My Name artist:Destiny's Child,7H6ev70Weq6DdpZyyTmUXk,76,1999-07-27
6,Say My Name,Destiny's Child,2000,track:Say My Name artist:Destiny's Child,6WAhLCL1XchQzYjl15rnFp,47,2000-02-21
6,Say My Name,Destiny's Child,2000,track:Say My Name artist:Destiny's Child,7GzwOc2K3KdKWXReWv50Dz,41,2014-06-10
6,Say My Name,Destiny's Child,2000,track:Say My Name artist:Destiny's Child,63CH0YPPYNcjuOJQQBqLdU,36,1999
6,Say My Name,Destiny's Child,2000,track:Say My Name artist:Destiny's Child,0Tm6EPYiVrQxRClsAHXh5t,38,2013-06-24
7,I Knew I Loved You,Savage Garden,2000,track:I Knew I Loved You artist:Savage Garden,6nozDLxeL0TE4MS9GqYU1v,69,1999-11-09
7,I Knew I Loved You,Savage Garden,2000,track:I Knew I Loved You artist:Savage Garden,68K0qD0VDqdm0eWXsGqnvM,58,2005-11-01
7,I Knew I Loved You,Savage Garden,2000,track:I Knew I Loved You artist:Savage Garden,1DuGc5Zk2HD9u8J9phRWGo,29,2015-06-12
7,I Knew I Loved You,Savage Garden,2000,track:I Knew I Loved You artist:Savage Garden,5FK9fAMj2bvQQ4sAqbN5v3,26,1999-09-28
7,I Knew I Loved You,Savage Garden,2000,track:I Knew I Loved You artist:Savage Garden,1OdUJBSxF0sExz1BmSax6k,21,2000-11-14
