Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,Surfin  U.S.A.,The Beach Boys,1963,track:Surfin  U.S.A. artist:The Beach Boys,0wz1LjDb9ZNEYwOmDJ3Q4b,71,1963-03-25
1,Surfin  U.S.A.,The Beach Boys,1963,track:Surfin  U.S.A. artist:The Beach Boys,5BbHAwyKc6Y3cjPIFc8POJ,0,2021-05-12
1,Surfin  U.S.A.,The Beach Boys,1963,track:Surfin  U.S.A. artist:The Beach Boys,2EPr9Wx7e1cpGEbNAtuN7x,53,2012-01-01
1,Surfin  U.S.A.,The Beach Boys,1963,track:Surfin  U.S.A. artist:The Beach Boys,7sVxvaLH9Bx9YZyBjdRpdQ,43,2003-01-01
1,Surfin  U.S.A.,The Beach Boys,1963,track:Surfin  U.S.A. artist:The Beach Boys,2JvClsYrYfLz76Td6J9MPa,41,2012-01-01
2,The End of the World,Skeeter Davis,1963,track:The End of the World artist:Skeeter Davis,5DTOOkooKFUvWj1XQTFa09,61,1994-05-23
2,The End of the World,Skeeter Davis,1963,track:The End of the World artist:Skeeter Davis,4rearfuh4ovHA3XABnoKpj,37,2001-09-24
2,The End of the World,Skeeter Davis,1963,track:The End of the World artist:Skeeter Davis,4UnQQl71JUE0e71vD3Tokc,32,2015-10-02
2,The End of the World,Skeeter Davis,1963,track:The End of the World artist:Skeeter Davis,1rlNTyNo6nniz6ggv6pv0v,30,2003-03-21
2,The End of the World,Skeeter Davis,1963,track:The End of the World artist:Skeeter Davis,0GE3KzABk9hxJBdSSEwyrW,15,2010-12-10
3,Rhythm of the Rain,The Cascades,1963,track:Rhythm of the Rain artist:The Cascades,7GHf8dQ2wA71wYOuRsQCZP,60,1963
3,Rhythm of the Rain,The Cascades,1963,track:Rhythm of the Rain artist:The Cascades,7lyu3Nqqykv5KKLZ9xWZiK,11,1979-10-05
3,Rhythm of the Rain,The Cascades,1963,track:Rhythm of the Rain artist:The Cascades,2H63ufMAPxhOgu8blqmfMQ,10,2013-03-31
3,Rhythm of the Rain,The Cascades,1963,track:Rhythm of the Rain artist:The Cascades,2GO205yfS904xPzwwhmTxk,5,2020-03-20
3,Rhythm of the Rain,The Cascades,1963,track:Rhythm of the Rain artist:The Cascades,2H1y70ANdicBbz0hrvb8gJ,6,2019-09-20
4,He s So Fine,The Chiffons,1963,track:He s So Fine artist:The Chiffons,2Bs1Lw9LX8hBm70t1iGdlh,54,2004-10-02
4,He s So Fine,The Chiffons,1963,track:He s So Fine artist:The Chiffons,188wAdz7Pak0ip3dnLix2V,0,2021-05-07
4,He s So Fine,The Chiffons,1963,track:He s So Fine artist:The Chiffons,0IJGL3MYgZ4zskjhqNMUNW,24,1979-10-05
4,He s So Fine,The Chiffons,1963,track:He s So Fine artist:The Chiffons,6fg0ljyxEMrCLajca3BAMr,22,2019-06-14
4,He s So Fine,The Chiffons,1963,track:He s So Fine artist:The Chiffons,4Ys7BXtNUXN5yQsR0CoO49,13,2013-03-31
5,Blue Velvet,Bobby Vinton,1963,track:Blue Velvet artist:Bobby Vinton,4QelFzhVgLomeQhvKrwM1S,59,1962
5,Blue Velvet,Bobby Vinton,1963,track:Blue Velvet artist:Bobby Vinton,3WO8ZBnOtad3xMz46Z54pY,48,1991-09-03
5,Blue Velvet,Bobby Vinton,1963,track:Blue Velvet artist:Bobby Vinton,1NwPdyjfYh2Fn8rp39H9kS,28,1964
5,Blue Velvet,Bobby Vinton,1963,track:Blue Velvet artist:Bobby Vinton,1xvS7RWU8WIWWyYYvbA5QK,15,1990-03-12
5,Blue Velvet,Bobby Vinton,1963,track:Blue Velvet artist:Bobby Vinton,4Mb88tS4Js98IX7qkN32Sh,7,1954
6,Hey Paula,Paul & Paula,1963,track:Hey Paula artist:Paul & Paula,6MpCxTJNdkHIpvQRuID8zU,44,1997-01-01
