Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,Faith,George Michael,1988,track:Faith artist:George Michael,0HEmnAUT8PHznIAAmVXqFJ,74,1987-10-30
1,Faith,George Michael,1988,track:Faith artist:George Michael,0nd1Vs5BIoIU4TJlzR8KVB,59,1987-10-30
1,Faith,George Michael,1988,track:Faith artist:George Michael,59eAcAyhYSLi5GKFrgHJzG,48,1998-11-09
1,Faith,George Michael,1988,track:Faith artist:George Michael,1x1EpeiOgliXheTFo2apzy,39,2006-11-11
1,Faith,George Michael,1988,track:Faith artist:George Michael,4ecQkmpRJmRwoWXtkfy6YD,31,2019-11-08
2,Need You Tonight,INXS,1988,track:Need You Tonight artist:INXS,5eU8qMd0TpaLqTGDZJaLDs,65,1987
2,Need You Tonight,INXS,1988,track:Need You Tonight artist:INXS,0rrXzqamCeLJXdum4kE4jM,25,2002-06-04
2,Need You Tonight,INXS,1988,track:Need You Tonight artist:INXS,2rnPKXJqNJe9fsnj4Sco0y,23,1987
2,Need You Tonight,INXS,1988,track:Need You Tonight artist:INXS,4L5eP4k1jlTc9CUFncqSpp,21,2011
2,Need You Tonight,INXS,1988,track:Need You Tonight artist:INXS,3tpC0FKTWiBCN4euy5zSBC,20,1994
3,Got My Mind Set on You,George Harrison,1988,track:Got My Mind Set on You artist:George Harrison,3OeUlriM0EZHdWleJtjoVr,71,1987-11-02
3,Got My Mind Set on You,George Harrison,1988,track:Got My Mind Set on You artist:George Harrison,6miUySWi347iIJyz7ETo6m,54,1987-11-02
3,Got My Mind Set on You,George Harrison,1988,track:Got My Mind Set on You artist:George Harrison,6eCP4ENaC1ii3ZMfbOHGfk,30,2009-01-01
3,Got My Mind Set on You,George Harrison,1988,track:Got My Mind Set on You artist:George Harrison,5XzA1lO809tNqQwqJ4Rxbm,24,1992-07-13
4,Never Gonna Give You Up,Rick Astley,1988,track:Never Gonna Give You Up artist:Rick Astley,4cOdK2wGLETKBW3PvgPWqT,77,1987-11-12
4,Never Gonna Give You Up,Rick Astley,1988,track:Never Gonna Give You Up artist:Rick Astley,6VPOVkex1tTqsMlMyH8Ebf,36,2019-12-29
4,Never Gonna Give You Up,Rick Astley,1988,track:Never Gonna Give You Up artist:Rick Astley,6vW1WpedCmV4gtOijSoQV3,36,2019-10-25
4,Never Gonna Give You Up,Rick Astley,1988,track:Never Gonna Give You Up artist:Rick Astley,4FFsEzul2cilyNLMctY2sP,29,2019-10-25
4,Never Gonna Give You Up,Rick Astley,1988,track:Never Gonna Give You Up artist:Rick Astley,1oQCO7vLjHfOiSW10Luahl,28,2018-07-11
5,Sweet Child o  Mine,Guns N' Roses,1988,track:Sweet Child o  Mine artist:Guns N' Roses,7snQQk1zcKl8gZ92AnueZW,74,1987-07-21
5,Sweet Child o  Mine,Guns N' Roses,1988,track:Sweet Child o  Mine artist:Guns N' Roses,50qma2LfxTfAILyNlZEnpP,44,1987-07-21
5,Sweet Child o  Mine,Guns N' Roses,1988,track:Sweet Child o  Mine artist:Guns N' Roses,0yqcmfdOv3RuDXKaloCKxY,47,1999-11-23
5,Sweet Child o  Mine,Guns N' Roses,1988,track:Sweet Child o  Mine artist:Guns N' Roses,1oY5eQ1r9V3cczAA5aXN8x,38,2004-03-23
5,Sweet Child o  Mine,Guns N' Roses,1988,track:Sweet Child o  Mine artist:Guns N' Roses,6DtmnN7wK6m8dI8UNaz3sG,35,2020-08-28
6,So Emotional,Whitney Houston,1988,track:So Emotional artist:Whitney Houston,4l2Edgdj4vla02GCh7YyAv,60,1987-06-02
6,So Emotional,Whitney Houston,1988,track:So Emotional artist:Whitney Houston,1js4N0g4tp66qvD2RNR3Bm,29,2000-05-16
6,So Emotional,Whitney Houston,1988,track:So Emotional artist:Whitney Houston,7IVDmywksaRgdLSzEgsUJk,30,2012-11-12
6,So Emotional,Whitney Houston,1988,track:So Emotional artist:Whitney Houston,4STBdVCn27vVnn0JKmpdFW,14,2000-04-25
