Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,Rolling in the Deep,Adele,2011,track:Rolling in the Deep artist:Adele,1c8gk2PeTE04A1pIDH9YMk,76,2011-01-24
1,Rolling in the Deep,Adele,2011,track:Rolling in the Deep artist:Adele,3GkqnS8Lt8LDZV565ITUwh,30,2011-01-17
1,Rolling in the Deep,Adele,2011,track:Rolling in the Deep artist:Adele,2PWhPwrYiG3VM3VRd8Nlkx,25,2014-08-25
1,Rolling in the Deep,Adele,2011,track:Rolling in the Deep artist:Adele,3eQRB7chBxnqKhJQTCcseu,0,2017-08-11
1,Rolling in the Deep,Adele,2011,track:Rolling in the Deep artist:Adele,1Lb1Cui3YR5qqBGylZcxVY,0,2017-08-11
2,Party Rock Anthem,LMFAO  ,2011,track:Party Rock Anthem artist:LMFAO  ,0IkKz2J93C94Ei4BvDop7P,68,2011-01-01
2,Party Rock Anthem,LMFAO  ,2011,track:Party Rock Anthem artist:LMFAO  ,0OoEAN7MtFPQTVyJdCH1kH,37,2013-01-01
2,Party Rock Anthem,LMFAO  ,2011,track:Party Rock Anthem artist:LMFAO  ,7FwaX3u4lo5wqF2mdHQlsC,38,2011-01-01
2,Party Rock Anthem,LMFAO  ,2011,track:Party Rock Anthem artist:LMFAO  ,6EYSO8eKxrUmTT5ENU9kLI,43,2019-11-01
2,Party Rock Anthem,LMFAO  ,2011,track:Party Rock Anthem artist:LMFAO  ,5y1jZxXIpECpclpbA76zVm,31,2011-01-01
3,Firework,Katy Perry,2011,track:Firework artist:Katy Perry,4lCv7b86sLynZbXhfScfm2,74,2012-03-12
3,Firework,Katy Perry,2011,track:Firework artist:Katy Perry,4r6eNCsrZnQWJzzvFh4nlg,66,2010-01-01
3,Firework,Katy Perry,2011,track:Firework artist:Katy Perry,0kUMtZVaYb7EETkBdrEXXA,51,2010-08-24
3,Firework,Katy Perry,2011,track:Firework artist:Katy Perry,29192Seg7hQqLi5gW5eOBt,39,2010-01-01
3,Firework,Katy Perry,2011,track:Firework artist:Katy Perry,4FLRw7sFTaKX66TKAHDstv,39,2012-01-01
4,E.T.,Katy Perry  ,2011,track:E.T. artist:Katy Perry  ,36ux3YuUsGTWPT8fXclS45,65,2012-03-12
4,E.T.,Katy Perry  ,2011,track:E.T. artist:Katy Perry  ,4z8ssgZfs5TzKiO8HaGWXO,65,2012-03-12
4,E.T.,Katy Perry  ,2011,track:E.T. artist:Katy Perry  ,4kkeuVl6gF3RMqE4Nn5W3E,55,2010-01-01
