Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,"Something About the Way You Look Tonight  "" / ""  Candle in the Wind 1997",Elton John,1997,"track:Something About the Way You Look Tonight  "" / ""  Candle in the Wind 1997 artist:Elton John",5LjSxAIKwyZvQqJ04ZQ0Da,56,1997-01-01
3,I ll Be Missing You,Puff Daddy  ,1997,track:I ll Be Missing You artist:Puff Daddy  ,0jKMnHAycHc9qO6R6UyhMc,20,1997
4,Un-Break My Heart,Toni Braxton,1997,track:Un-Break My Heart artist:Toni Braxton,5Ihd9HrPvOADyVoonH9ZjB,67,1996-04-24
4,Un-Break My Heart,Toni Braxton,1997,track:Un-Break My Heart artist:Toni Braxton,1wyNvV8uXr35T8ChEypf8n,56,2007-02-12
4,Un-Break My Heart,Toni Braxton,1997,track:Un-Break My Heart artist:Toni Braxton,61LZbOfk2uYhsZIIY1yT02,26,2014-06-10
4,Un-Break My Heart,Toni Braxton,1997,track:Un-Break My Heart artist:Toni Braxton,7nAjlUFOAyWjZzlWVHWtrZ,38,2014-11-28
4,Un-Break My Heart,Toni Braxton,1997,track:Un-Break My Heart artist:Toni Braxton,18pF4zBSsZ8LhNyVUvWoTj,30,2005-04-10
6,I Believe I Can Fly,R. Kelly,1997,track:I Believe I Can Fly artist:R. Kelly,2RzJwBCXsS1VnjDm2jKKAa,62,1998-11-08
6,I Believe I Can Fly,R. Kelly,1997,track:I Believe I Can Fly artist:R. Kelly,2KeRxlnuTrK1d5l5Mpa5De,39,2014-05-19
6,I Believe I Can Fly,R. Kelly,1997,track:I Believe I Can Fly artist:R. Kelly,516Ty6Dx6gz9EQ5TIs52Nr,23,2014-06-10
6,I Believe I Can Fly,R. Kelly,1997,track:I Believe I Can Fly artist:R. Kelly,2HWY76uWkiZwoCe1QQ1UB4,33,2014-11-28
6,I Believe I Can Fly,R. Kelly,1997,track:I Believe I Can Fly artist:R. Kelly,5pXErkWhhiHWpA7VJnWuvn,22,2003-09-23
7,Don t Let Go (Love),En Vogue,1997,track:Don t Let Go (Love) artist:En Vogue,06TuMCjDEYjTOJScCRzmjf,62,1997-06-17
7,Don t Let Go (Love),En Vogue,1997,track:Don t Let Go (Love) artist:En Vogue,6zmRoCPjIZA9ysAVBYiU9Z,45,2001-08-21
7,Don t Let Go (Love),En Vogue,1997,track:Don t Let Go (Love) artist:En Vogue,1fHgO6v34KSSBKrNQE6q21,29,2017-06-23
7,Don t Let Go (Love),En Vogue,1997,track:Don t Let Go (Love) artist:En Vogue,2DuXk4Erpj3C9JpwwWrytE,31,1996-09-24
7,Don t Let Go (Love),En Vogue,1997,track:Don t Let Go (Love) artist:En Vogue,1mLDLBwGOTAZ4E1RtT8okZ,29,2018-04-13
8,Return of the Mack,Mark Morrison,1997,track:Return of the Mack artist:Mark Morrison,3jDdpx9PMlfMBS5tOBHFm9,73,1996-04-22
8,Return of the Mack,Mark Morrison,1997,track:Return of the Mack artist:Mark Morrison,7gHtm3BUJgbET8Vmit2lu6,51,1997
8,Return of the Mack,Mark Morrison,1997,track:Return of the Mack artist:Mark Morrison,2UDNcZpCJUzIUISUaA4HBS,42,2017-07-07
8,Return of the Mack,Mark Morrison,1997,track:Return of the Mack artist:Mark Morrison,3vbIA1AKIo9RhZb26XZNtz,39,1997
8,Return of the Mack,Mark Morrison,1997,track:Return of the Mack artist:Mark Morrison,2PKqwOJE9GWpZVEOReRrUA,37,2020-04-24
9,How Do I Live,LeAnn Rimes,1997,track:How Do I Live artist:LeAnn Rimes,7BD50ATrF3Vab5FQy7vtK8,69,2003-11-18
9,How Do I Live,LeAnn Rimes,1997,track:How Do I Live artist:LeAnn Rimes,6lo9DfMREEeZaWWU6KSYp5,54,2015-02-03
9,How Do I Live,LeAnn Rimes,1997,track:How Do I Live artist:LeAnn Rimes,7jVkRbHbcw9wO5tNlBOiWR,41,1997-09-09
9,How Do I Live,LeAnn Rimes,1997,track:How Do I Live artist:LeAnn Rimes,2PrSAncf7v07Nnnzf4WxdF,20,2014-08-05
9,How Do I Live,LeAnn Rimes,1997,track:How Do I Live artist:LeAnn Rimes,6x3W8BISW0cndmf0qQzJWX,20,2003-05-20
10,Wannabe,Spice Girls,1997,track:Wannabe artist:Spice Girls,1Je1IMUlBXcx1Fz0WE7oPT,80,1996-01-01
10,Wannabe,Spice Girls,1997,track:Wannabe artist:Spice Girls,1SbTEvdeNtWO7ecLjnCcfx,0,2021-05-11
10,Wannabe,Spice Girls,1997,track:Wannabe artist:Spice Girls,5diNOKwKaKatosuklIJvtD,0,2021-05-12
10,Wannabe,Spice Girls,1997,track:Wannabe artist:Spice Girls,0HTcy1erH8hvMVFiI4YQfL,0,2021-05-11
10,Wannabe,Spice Girls,1997,track:Wannabe artist:Spice Girls,6uc0Cx3oQWDOK9Y63pn90X,0,2021-05-12
11,Quit Playing Games (With My Heart),Backstreet Boys,1997,track:Quit Playing Games (With My Heart) artist:Backstreet Boys,1nRwyxNsqCLeA17qR8Nfxx,57,1996
11,Quit Playing Games (With My Heart),Backstreet Boys,1997,track:Quit Playing Games (With My Heart) artist:Backstreet Boys,4oRxLyX76ayUgcWdeYKll0,39,2001-10-23
11,Quit Playing Games (With My Heart),Backstreet Boys,1997,track:Quit Playing Games (With My Heart) artist:Backstreet Boys,7dkT9eSgqDxFUs6SrRvibz,30,2011-05-24
12,MMMBop,Hanson,1997,track:MMMBop artist:Hanson,0lnxrQAd9ZxbhBBe7d8FO8,68,1997-01-01
12,MMMBop,Hanson,1997,track:MMMBop artist:Hanson,2HNZxbvFvasRtlOJ9M6DgR,63,2006-01-01
12,MMMBop,Hanson,1997,track:MMMBop artist:Hanson,6QVfvcmfAH0XjiLq4PdiYa,1,2021-05-07
12,MMMBop,Hanson,1997,track:MMMBop artist:Hanson,06sd3MKjt4wKiBHf8Nu1E9,2,2021-04-30
