Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,Tik Tok,Kesha,2010,track:Tik Tok artist:Kesha,0HPD5WQqrq7wPWR7P7Dw1i,81,2010-01-01
1,Tik Tok,Kesha,2010,track:Tik Tok artist:Kesha,5PSba04SiAEUe3q6PyaTpQ,50,2009-08-07
1,Tik Tok,Kesha,2010,track:Tik Tok artist:Kesha,4VDpxXor1Y0Fkucgn9aMcg,35,2018-12-07
1,Tik Tok,Kesha,2010,track:Tik Tok artist:Kesha,3VzVwhsTODtBVyq1z56iVL,31,2010-01-01
1,Tik Tok,Kesha,2010,track:Tik Tok artist:Kesha,5yzKUcC2oclY3CwC8Hvjk3,28,2010-01-01
2,Need You Now,Lady Antebellum,2010,track:Need You Now artist:Lady Antebellum,11EX5yhxr9Ihl3IN1asrfK,70,2010-01-01
2,Need You Now,Lady Antebellum,2010,track:Need You Now artist:Lady Antebellum,7h70RTLbnhDyPGXjl3iEhh,63,2010-01-01
2,Need You Now,Lady Antebellum,2010,track:Need You Now artist:Lady Antebellum,1RXPmzHreMYZ9i9VOpjwMl,1,2021-05-07
2,Need You Now,Lady Antebellum,2010,track:Need You Now artist:Lady Antebellum,7FYjhMGgb9Jn3A1CSscz5k,6,2021-04-28
2,Need You Now,Lady Antebellum,2010,track:Need You Now artist:Lady Antebellum,1PWPqW5juOKsomKFw716zS,3,2021-04-30
3,"Hey, Soul Sister",Train,2010,"track:Hey, Soul Sister artist:Train",4HlFJV71xXKIGcU3kRyttv,83,2010-12-01
3,"Hey, Soul Sister",Train,2010,"track:Hey, Soul Sister artist:Train",5SFJRXA0zX2xFIZHBXcnI5,51,2018-11-09
3,"Hey, Soul Sister",Train,2010,"track:Hey, Soul Sister artist:Train",1UDCuS38KBxXufAkkNNgVX,49,2018-11-23
3,"Hey, Soul Sister",Train,2010,"track:Hey, Soul Sister artist:Train",1umO4wQQgqBRThlXxoDVkL,34,2010-12-01
3,"Hey, Soul Sister",Train,2010,"track:Hey, Soul Sister artist:Train",6Pq1q70lZ0jCK1ZGhVwqM3,34,2018-03-02
4,California Gurls,Katy Perry  ,2010,track:California Gurls artist:Katy Perry  ,6tS3XVuOyu10897O3ae7bi,74,2012-03-12
4,California Gurls,Katy Perry  ,2010,track:California Gurls artist:Katy Perry  ,6KOEK6SeCEZOQkLj5M1PxH,65,2010-01-01
4,California Gurls,Katy Perry  ,2010,track:California Gurls artist:Katy Perry  ,3yCzLH2lQ8KknpvsqNCo35,41,2010-01-01
4,California Gurls,Katy Perry  ,2010,track:California Gurls artist:Katy Perry  ,7DjQUa8BrQevCPtQc0YwmL,43,2012-01-01
4,California Gurls,Katy Perry  ,2010,track:California Gurls artist:Katy Perry  ,4fp9SWvmFp4qSJZQJnDQuB,35,2020-03-20
5,OMG,Usher  ,2010,track:OMG artist:Usher  ,1bM50INir8voAkVoKuvEUI,72,2010-03-30
5,OMG,Usher  ,2010,track:OMG artist:Usher  ,3KxAjqlVE4bvhcI894f4Ig,19,2010-06-05
5,OMG,Usher  ,2010,track:OMG artist:Usher  ,1hfrrCNvfC84gKEtxCKWxU,10,2010-06-05
5,OMG,Usher  ,2010,track:OMG artist:Usher  ,6JZi2VXnYpo1NDby5wypdP,11,2010-06-05
5,OMG,Usher  ,2010,track:OMG artist:Usher  ,1PttErTu9wsFSCqEthOYvN,9,2010-06-05
6,Airplanes,B.o.B  ,2010,track:Airplanes artist:B.o.B  ,6lV2MSQmRIkycDScNtrBXO,76,2010-04-27
6,Airplanes,B.o.B  ,2010,track:Airplanes artist:B.o.B  ,2bnDTGikdoO8CwzlAPyBHR,61,2010-04-27
6,Airplanes,B.o.B  ,2010,track:Airplanes artist:B.o.B  ,12rVL9zxkLUrInr6sg8gwX,38,2010-04-27
6,Airplanes,B.o.B  ,2010,track:Airplanes artist:B.o.B  ,4zlS6uTUQFankHs3wpTEM1,33,2010-04-27
6,Airplanes,B.o.B  ,2010,track:Airplanes artist:B.o.B  ,2Rx9waxgNcoFnPvYsgw0A3,26,2021-02-26
7,Love the Way You Lie,Eminem  ,2010,track:Love the Way You Lie artist:Eminem  ,15JINEqzVMv3SvJTAXAKED,82,2010-06-18
7,Love the Way You Lie,Eminem  ,2010,track:Love the Way You Lie artist:Eminem  ,4SiWJ0xSFdmTb0i379Uwny,47,2010-06-21
7,Love the Way You Lie,Eminem  ,2010,track:Love the Way You Lie artist:Eminem  ,4k5Rb51qsUSMFg6oFdVC48,41,2010-06-18
7,Love the Way You Lie,Eminem  ,2010,track:Love the Way You Lie artist:Eminem  ,3sFz8dfRyIlGcvXLzBHqdn,25,2020-08-10
7,Love the Way You Lie,Eminem  ,2010,track:Love the Way You Lie artist:Eminem  ,7whTetU9uIfLomUMqr6gNC,18,2011-03-04
8,Bad Romance,Lady Gaga,2010,track:Bad Romance artist:Lady Gaga,0SiywuOBRcynK0uKGWdCnn,81,2009-11-05
8,Bad Romance,Lady Gaga,2010,track:Bad Romance artist:Lady Gaga,3bKzGqTQMX10M7kFnDJfqX,0,2021-05-11
8,Bad Romance,Lady Gaga,2010,track:Bad Romance artist:Lady Gaga,4RPYRD8y5z6v00Cz56UHYb,0,2021-05-12
8,Bad Romance,Lady Gaga,2010,track:Bad Romance artist:Lady Gaga,2OiDdv7G68tBlketQerK3S,0,2021-05-12
8,Bad Romance,Lady Gaga,2010,track:Bad Romance artist:Lady Gaga,7y1qo3trYNBtnIPvfcuIgb,0,2021-05-11
9,Dynamite,Taio Cruz,2010,track:Dynamite artist:Taio Cruz,1DqdF42leyFIzqNDv9CjId,73,2010-01-01
9,Dynamite,Taio Cruz,2010,track:Dynamite artist:Taio Cruz,4twLr2Oy1MjT6EE4g0uatb,0,2021-05-11
9,Dynamite,Taio Cruz,2010,track:Dynamite artist:Taio Cruz,4lYKuF88iTBrppJoq03ujE,55,2011-01-01
9,Dynamite,Taio Cruz,2010,track:Dynamite artist:Taio Cruz,1pemRvGpScgNmoewYMO8yk,35,2020-03-20
9,Dynamite,Taio Cruz,2010,track:Dynamite artist:Taio Cruz,2AmsJqVZqmTIFlQCR8W1on,30,2021-01-29
10,Break Your Heart,Taio Cruz  ,2010,track:Break Your Heart artist:Taio Cruz  ,1CdqVF1ywD0ZO1zXtB9yWa,67,2010-01-01
10,Break Your Heart,Taio Cruz  ,2010,track:Break Your Heart artist:Taio Cruz  ,6KvjIUh8hLo84UPKgYo60w,0,2021-05-12
10,Break Your Heart,Taio Cruz  ,2010,track:Break Your Heart artist:Taio Cruz  ,4Oqg0RD3ywUXEtt7seShF0,51,2011-01-01
10,Break Your Heart,Taio Cruz  ,2010,track:Break Your Heart artist:Taio Cruz  ,4mVtx1WO9DmJDrYoTC17Nf,31,2010-07-20
10,Break Your Heart,Taio Cruz  ,2010,track:Break Your Heart artist:Taio Cruz  ,5sZoro4grjHkg9wec8gmsm,22,2020-01-31
11,Nothin  on You,B.o.B  ,2010,track:Nothin  on You artist:B.o.B  ,59dLtGBS26x7kc0rHbaPrq,74,2010-04-27
11,Nothin  on You,B.o.B  ,2010,track:Nothin  on You artist:B.o.B  ,5AkZntfhC6IBpNtWyWTWhk,66,2010-04-27
11,Nothin  on You,B.o.B  ,2010,track:Nothin  on You artist:B.o.B  ,6gKpVBUrMg2QTujnagF9bf,42,2019-03-21
11,Nothin  on You,B.o.B  ,2010,track:Nothin  on You artist:B.o.B  ,0PNm0DHz7K7YWczDWK0NQ3,16,2021-03-26
11,Nothin  on You,B.o.B  ,2010,track:Nothin  on You artist:B.o.B  ,5BswRriYIJG2bSsJXFGfHp,10,2021-04-16
12,I Like It,Enrique Iglesias  ,2010,track:I Like It artist:Enrique Iglesias  ,4nVyHATevhl5RC6Qmoko5H,65,2010-01-01
