Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,Blinding Lights,The Weeknd,2020,track:Blinding Lights artist:The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,94,2020-03-20
1,Blinding Lights,The Weeknd,2020,track:Blinding Lights artist:The Weeknd,7MXgrcOQAJ5VwSNUL0lDd3,68,2020-12-04
1,Blinding Lights,The Weeknd,2020,track:Blinding Lights artist:The Weeknd,5Sg09MvHqNWPWsYeuY2toY,60,2020-04-03
1,Blinding Lights,The Weeknd,2020,track:Blinding Lights artist:The Weeknd,0djfvA3c8AxxlQolu6zn6K,60,2021-02-05
1,Blinding Lights,The Weeknd,2020,track:Blinding Lights artist:The Weeknd,6qYkmqFsXbj8CQjAdbYz07,51,2020-09-11
2,Circles,Post Malone,2020,track:Circles artist:Post Malone,21jGcNKet2qwijlDFuPiPb,87,2019-09-06
2,Circles,Post Malone,2020,track:Circles artist:Post Malone,3mrE0pFzyIQqFs3cMUimY4,41,2019-09-04
2,Circles,Post Malone,2020,track:Circles artist:Post Malone,6KjegbJPzNRetrgFJiHVMp,43,2019-09-06
2,Circles,Post Malone,2020,track:Circles artist:Post Malone,4Nu1WfWicROtRhTiremN0O,28,2020-01-24
3,The Box,Roddy Ricch,2020,track:The Box artist:Roddy Ricch,0nbXyq5TXYPCO7pr3N8S4I,86,2019-12-06
3,The Box,Roddy Ricch,2020,track:The Box artist:Roddy Ricch,4DJvPtKnssaifrWfceZAU0,28,2021-04-16
3,The Box,Roddy Ricch,2020,track:The Box artist:Roddy Ricch,6CkWCVDNZg8w638zh6BDJY,26,2020-11-07
3,The Box,Roddy Ricch,2020,track:The Box artist:Roddy Ricch,6tbdUtj5EDrJnIVfG2loQR,19,2021-04-16
3,The Box,Roddy Ricch,2020,track:The Box artist:Roddy Ricch,01VgSv3lnRuG2nQgo1XqJF,15,2020-12-19
4,Don t Start Now,Dua Lipa,2020,track:Don t Start Now artist:Dua Lipa,6WrI0LAC5M1Rw2MnX2ZvEg,84,2019-10-31
4,Don t Start Now,Dua Lipa,2020,track:Don t Start Now artist:Dua Lipa,3PfIrDoz19wz7qK7tYeu62,84,2020-03-27
