Artist(s),Query,Rank,Song,Year
Hi-Five,track:I Like the Way (The Kissing Game) artist:Hi-Five,8,I Like the Way (The Kissing Game),1991.0
C+C Music Factory,track:Here We Go artist:C+C Music Factory,36,Here We Go,1991.0
Rythm Syndicate,track:P.A.S.S.I.O.N. artist:Rythm Syndicate,40,P.A.S.S.I.O.N.,1991.0
C+C Music Factory,track:Things That Make You Go Hmmm... artist:C+C Music Factory,51,Things That Make You Go Hmmm...,1991.0
