Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,Believe,Cher,1999,track:Believe artist:Cher,2goLsvvODILDzeeiT4dAoR,76,1998
1,Believe,Cher,1999,track:Believe artist:Cher,6MiNZJ178L6ypTnBt2G4BJ,35,1998
1,Believe,Cher,1999,track:Believe artist:Cher,7pDQQQoavwjYXsmJpXb2Kk,25,2020-06-26
1,Believe,Cher,1999,track:Believe artist:Cher,31vuTALeyQSRU39TV1Qkew,28,1998
1,Believe,Cher,1999,track:Believe artist:Cher,4tyCIuHCxoeKK4XZ5jLnhD,23,1991-06-11
2,No Scrubs,TLC,1999,track:No Scrubs artist:TLC,1KGi9sZVMeszgZOWivFpxs,78,1999-02-23
2,No Scrubs,TLC,1999,track:No Scrubs artist:TLC,0x71Ua6hHfdKWgk4XPmNn6,45,2003-09-30
2,No Scrubs,TLC,1999,track:No Scrubs artist:TLC,3NpsJc5SOINskuK3z08Q9C,46,1999-02-23
2,No Scrubs,TLC,1999,track:No Scrubs artist:TLC,3okWQ7ykLevuruyk60bFgy,40,2018-12-07
2,No Scrubs,TLC,1999,track:No Scrubs artist:TLC,6nfXml1tJgN4H5AY2Xy84f,30,2014-06-10
3,Angel of Mine,Monica,1999,track:Angel of Mine artist:Monica,1AM1o0mKbgAK5oMpY8B3Z7,65,1998-07-13
3,Angel of Mine,Monica,1999,track:Angel of Mine artist:Monica,7GHFHB58XQG9NPjV6j9sLT,23,1998-04-01
3,Angel of Mine,Monica,1999,track:Angel of Mine artist:Monica,7LxUbUnogoxRakjfsUFlI3,14,2019-04-19
3,Angel of Mine,Monica,1999,track:Angel of Mine artist:Monica,3Epm5sBlrLj3XcMoRUM0zf,9,1999
3,Angel of Mine,Monica,1999,track:Angel of Mine artist:Monica,6TrwH773JJxVf0tNAOiReJ,9,1998-04-01
4,Heartbreak Hotel,Whitney Houston  ,1999,track:Heartbreak Hotel artist:Whitney Houston  ,4J9u7UsXH7F6sFI32KnYuP,53,1998-11-17
4,Heartbreak Hotel,Whitney Houston  ,1999,track:Heartbreak Hotel artist:Whitney Houston  ,7HGHXKxhXIAOICL8bgwx0a,40,2000-05-16
4,Heartbreak Hotel,Whitney Houston  ,1999,track:Heartbreak Hotel artist:Whitney Houston  ,430gOpaoFqaSx7RyebR9WE,25,2006-07-04
4,Heartbreak Hotel,Whitney Houston  ,1999,track:Heartbreak Hotel artist:Whitney Houston  ,4koRyOH8MOVOgaivrc75cF,36,2012-11-12
4,Heartbreak Hotel,Whitney Houston  ,1999,track:Heartbreak Hotel artist:Whitney Houston  ,2DHMzd7FeIsuTLomeNBBQE,21,2000-05-16
5,...Baby One More Time,Britney Spears,1999,track:...Baby One More Time artist:Britney Spears,3MjUtNVVq3C8Fn0MP3zhXa,79,1999-01-12
5,...Baby One More Time,Britney Spears,1999,track:...Baby One More Time artist:Britney Spears,7EFVJfuaqhIIvzNHZpEpth,39,2004
5,...Baby One More Time,Britney Spears,1999,track:...Baby One More Time artist:Britney Spears,0kDYa8nqIIpsAZ8FctJyGQ,43,2014-11-28
5,...Baby One More Time,Britney Spears,1999,track:...Baby One More Time artist:Britney Spears,3YtTswqxhvfosc1v3jBud3,27,2014-06-10
5,...Baby One More Time,Britney Spears,1999,track:...Baby One More Time artist:Britney Spears,5blxCItxB2A0AGH2pIwFFz,42,2014-07-29
6,Kiss Me,Sixpence None the Richer,1999,track:Kiss Me artist:Sixpence None the Richer,754kgU5rWscRTfvlsuEwFp,76,1997-11-22
6,Kiss Me,Sixpence None the Richer,1999,track:Kiss Me artist:Sixpence None the Richer,2aZ5oYPdDbLNRIUghXM9EV,38,2003-01-01
6,Kiss Me,Sixpence None the Richer,1999,track:Kiss Me artist:Sixpence None the Richer,79z7dHVpP3ODaat0CK29db,54,2004
6,Kiss Me,Sixpence None the Richer,1999,track:Kiss Me artist:Sixpence None the Richer,7IDezLEJkTbVchK7swLb5y,33,2004-10-26
6,Kiss Me,Sixpence None the Richer,1999,track:Kiss Me artist:Sixpence None the Richer,4K47bzm9i91YeIAE8PaxBi,26,2009-02-03
7,Genie in a Bottle,Christina Aguilera,1999,track:Genie in a Bottle artist:Christina Aguilera,11mwFrKvLXCbcVGNxffGyP,71,1999
7,Genie in a Bottle,Christina Aguilera,1999,track:Genie in a Bottle artist:Christina Aguilera,0VkcUkbiiHfIp6Lb5rlBfJ,30,2014-06-10
7,Genie in a Bottle,Christina Aguilera,1999,track:Genie in a Bottle artist:Christina Aguilera,2k2VvyJSikIagNmwLUOZKh,39,2014-11-28
7,Genie in a Bottle,Christina Aguilera,1999,track:Genie in a Bottle artist:Christina Aguilera,7tHI3TNDq2HhMTqJuRG2uw,33,1999
7,Genie in a Bottle,Christina Aguilera,1999,track:Genie in a Bottle artist:Christina Aguilera,5yRR5ZtNLMzJGZOSXSxq6c,29,2008-11-12
8,Every Morning,Sugar Ray,1999,track:Every Morning artist:Sugar Ray,2ouURa1AIXp3AvkS52Jry5,65,1998-12-23
8,Every Morning,Sugar Ray,1999,track:Every Morning artist:Sugar Ray,6Neq7tjnknt4URNI8txFL4,58,2005-06-17
8,Every Morning,Sugar Ray,1999,track:Every Morning artist:Sugar Ray,3PamjZAj5rb9z6QyhXeupt,52,2005-12-20
8,Every Morning,Sugar Ray,1999,track:Every Morning artist:Sugar Ray,0BfcEHpbpAvvZok7OnIHEN,23,2013-07-17
8,Every Morning,Sugar Ray,1999,track:Every Morning artist:Sugar Ray,5CxoG7ijDQRbngItWDUDyX,30,2009-07-14
9,Nobody s Supposed to Be Here,Deborah Cox,1999,track:Nobody s Supposed to Be Here artist:Deborah Cox,51QxenFmXlJXUN9mpvxlaL,57,1998-09-17
9,Nobody s Supposed to Be Here,Deborah Cox,1999,track:Nobody s Supposed to Be Here artist:Deborah Cox,0OdiAlnSN0k39jarFqVTY8,43,1998-09-17
9,Nobody s Supposed to Be Here,Deborah Cox,1999,track:Nobody s Supposed to Be Here artist:Deborah Cox,2q03KwRuMNAMgYYrtxEmoc,37,2003-07-22
9,Nobody s Supposed to Be Here,Deborah Cox,1999,track:Nobody s Supposed to Be Here artist:Deborah Cox,3RRBSoFITcxUx7aYBjuoqL,28,2005-05-03
9,Nobody s Supposed to Be Here,Deborah Cox,1999,track:Nobody s Supposed to Be Here artist:Deborah Cox,7zAMczivaJ9GF6qJfiiyJI,22,2006-07-11
10,Livin  la Vida Loca,Ricky Martin,1999,track:Livin  la Vida Loca artist:Ricky Martin,0Ph6L4l8dYUuXFmb71Ajnd,73,1999
10,Livin  la Vida Loca,Ricky Martin,1999,track:Livin  la Vida Loca artist:Ricky Martin,4Yq7WIbdjwx4H7JR6Bf3nZ,57,1999
