Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,Too Close,Next,1998,track:Too Close artist:Next,5IFCyWplye09HytIP80RCF,66,1997-09-30
1,Too Close,Next,1998,track:Too Close artist:Next,2fyTojfPYs67KBWN4WYRX7,54,2004-04-30
1,Too Close,Next,1998,track:Too Close artist:Next,1kPYM6UNwZUYVvfwk8Jkg0,37,1997-09-30
1,Too Close,Next,1998,track:Too Close artist:Next,5avYE6HN6jBXM294oQUZSo,32,2013-06-24
1,Too Close,Next,1998,track:Too Close artist:Next,5JJRSsIyB1lbWlyMsRO5dQ,31,2014-11-28
2,The Boy Is Mine,Brandy  and  Monica,1998,track:The Boy Is Mine artist:Brandy  and  Monica,30lxTiMzVRxp6wLcTn6awC,22,2018-06-29
2,The Boy Is Mine,Brandy  and  Monica,1998,track:The Boy Is Mine artist:Brandy  and  Monica,1uZDfExMGKhzd0HvKoxfZQ,8,2019-02-15
2,The Boy Is Mine,Brandy  and  Monica,1998,track:The Boy Is Mine artist:Brandy  and  Monica,4eRJY3QJ46ogcvQRzji9kJ,1,2018-12-07
2,The Boy Is Mine,Brandy  and  Monica,1998,track:The Boy Is Mine artist:Brandy  and  Monica,6nsFUWbSb3bND9cAU8tH00,6,2021-04-09
2,The Boy Is Mine,Brandy  and  Monica,1998,track:The Boy Is Mine artist:Brandy  and  Monica,0mA5id4thVYaoWfMStKRkh,1,2020-03-13
3,You re Still the One,Shania Twain,1998,track:You re Still the One artist:Shania Twain,1wb4P4F0sxAQ2KXrRvsx6n,74,1997-11-04
3,You re Still the One,Shania Twain,1998,track:You re Still the One artist:Shania Twain,7FCthfxjvvXyukvP1dULIW,50,2004-01-01
3,You re Still the One,Shania Twain,1998,track:You re Still the One artist:Shania Twain,6InsxHMrjp62YRl5NQ6spQ,38,1999-11-09
3,You re Still the One,Shania Twain,1998,track:You re Still the One artist:Shania Twain,6yIzXSMvzG2lDzc2Xhwu7g,25,2017-11-17
3,You re Still the One,Shania Twain,1998,track:You re Still the One artist:Shania Twain,7iGY3k5bvs2D8yPeF4z1y4,42,2015-03-02
4,Truly Madly Deeply,Savage Garden,1998,track:Truly Madly Deeply artist:Savage Garden,013AWvizllIUEC2FOBzOnh,73,1997-03-04
