Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,Joy to the World,Three Dog Night,1971,track:Joy to the World artist:Three Dog Night,2ymeOsYijJz09LfKw3yM2x,66,1970-01-01
1,Joy to the World,Three Dog Night,1971,track:Joy to the World artist:Three Dog Night,1Sqcqzfgv5oB2nPcVGw6cp,36,1993-12-07
1,Joy to the World,Three Dog Night,1971,track:Joy to the World artist:Three Dog Night,2F8U2IXoYAz2v3vLpyWgBY,31,1982-01-01
1,Joy to the World,Three Dog Night,1971,track:Joy to the World artist:Three Dog Night,2BeWu1tKn27ZVBEkPNIi0v,23,2004-01-01
1,Joy to the World,Three Dog Night,1971,track:Joy to the World artist:Three Dog Night,1juyGCItoK8gYro94faicl,25,1983-09-08
4,One Bad Apple,The Osmonds,1971,track:One Bad Apple artist:The Osmonds,50UoJUrslRVqG0cg6uboyn,37,1970-11-14
4,One Bad Apple,The Osmonds,1971,track:One Bad Apple artist:The Osmonds,1BphrvqrOj0y8C0umSSrCP,20,2002-01-01
4,One Bad Apple,The Osmonds,1971,track:One Bad Apple artist:The Osmonds,3LuiUHfCFHS37Be0d4zgv4,12,2009-01-01
4,One Bad Apple,The Osmonds,1971,track:One Bad Apple artist:The Osmonds,40tpKp3AMxvpBRYOp5KawW,7,2003-01-01
4,One Bad Apple,The Osmonds,1971,track:One Bad Apple artist:The Osmonds,1hMrraWyub5tLZTHGifA5K,9,2007
5,How Can You Mend a Broken Heart,Bee Gees,1971,track:How Can You Mend a Broken Heart artist:Bee Gees,3ZP18us6p6LHOZMG1LLUjF,73,2020-11-20
5,How Can You Mend a Broken Heart,Bee Gees,1971,track:How Can You Mend a Broken Heart artist:Bee Gees,1jy0RbDHyBMTupSdc98XbG,61,1971-09
5,How Can You Mend a Broken Heart,Bee Gees,1971,track:How Can You Mend a Broken Heart artist:Bee Gees,500p2JKoUouvNLorJtaHMH,44,2020-11-20
5,How Can You Mend a Broken Heart,Bee Gees,1971,track:How Can You Mend a Broken Heart artist:Bee Gees,0R25L71h2rUyy0tVA1K464,41,1998-01-01
5,How Can You Mend a Broken Heart,Bee Gees,1971,track:How Can You Mend a Broken Heart artist:Bee Gees,008OEwTM1G1rCdn0trlez9,28,2009-11-03
