Artist(s),Query,Rank,Song,Year
Skrillex  and  Diplo  ,track:Where Are Ü Now artist:Skrillex  and  Diplo  ,19,Where Are Ü Now,2015.0
Flo Rida  ,track:G.D.F.R. artist:Flo Rida  ,32,G.D.F.R.,2015.0
Pitbull  and  Ne-Yo,track:Time of Our Lives artist:Pitbull  and  Ne-Yo,39,Time of Our Lives,2015.0
"Rihanna  ,  Kanye West  and  Paul McCartney","track:FourFiveSeconds artist:Rihanna  ,  Kanye West  and  Paul McCartney",42,FourFiveSeconds,2015.0
Ariana Grande  and  The Weeknd,track:Love Me Harder artist:Ariana Grande  and  The Weeknd,56,Love Me Harder,2015.0
DJ Snake  and  AlunaGeorge,track:You Know You Like It artist:DJ Snake  and  AlunaGeorge,59,You Know You Like It,2015.0
"Jessie J  ,  Ariana Grande  and  Nicki Minaj","track:Bang Bang artist:Jessie J  ,  Ariana Grande  and  Nicki Minaj",80,Bang Bang,2015.0
Chris Brown  and  Tyga,track:Ayo artist:Chris Brown  and  Tyga,86,Ayo,2015.0
Nicky Jam  and  Enrique Iglesias,track:El Perdón artist:Nicky Jam  and  Enrique Iglesias,96,El Perdón,2015.0
