Artist(s),Query,Rank,Song,Year
SSgt. Barry Sadler,track:Ballad of the Green Berets artist:SSgt. Barry Sadler,10,Ballad of the Green Berets,1966.0
B. J. Thomas & the Triumphs,track:I m So Lonesome I Could Cry artist:B. J. Thomas & the Triumphs,36,I m So Lonesome I Could Cry,1966.0
Ray Charles,track:Crying Time artist:Ray Charles,45,Crying Time,1966.0
The Shades of Blue,track:Oh How Happy artist:The Shades of Blue,78,Oh How Happy,1966.0
