Artist(s),Query,Rank,Song,Year
Will to Power,"track:Baby, I Love Your Way/Freebird Medley artist:Will to Power",9,"Baby, I Love Your Way/Freebird Medley",1989.0
Milli Vanilli,track:Girl I m Gonna Miss You artist:Milli Vanilli,16,Girl I m Gonna Miss You,1989.0
Rod Stewart,track:My Heart Can t Tell You No artist:Rod Stewart,50,My Heart Can t Tell You No,1989.0
Cher  and  Peter Cetera,track:After All artist:Cher  and  Peter Cetera,79,After All,1989.0
Sa-Fire,track:Thinking of You artist:Sa-Fire,96,Thinking of You,1989.0
Ann Wilson  and  Robin Zander,track:Surrender To Me artist:Ann Wilson  and  Robin Zander,98,Surrender To Me,1989.0
