Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,My Sharona,The Knack,1979,track:My Sharona artist:The Knack,1HOMkjp0nHMaTnfAkslCQj,73,1979-01-01
1,My Sharona,The Knack,1979,track:My Sharona artist:The Knack,1j4FcwczVSCf4OtKsiRiLz,1,2021-05-07
1,My Sharona,The Knack,1979,track:My Sharona artist:The Knack,1de0oQBdeAmOVsvZlnyZqK,42,2010-01-01
1,My Sharona,The Knack,1979,track:My Sharona artist:The Knack,7LBfB60SYom6ksjre9pXMP,26,2008-01-01
1,My Sharona,The Knack,1979,track:My Sharona artist:The Knack,463LklDJhheKlCh8fOONO6,26,2008-01-01
2,Bad Girls,Donna Summer,1979,track:Bad Girls artist:Donna Summer,1ibRqifchaAfeNdQGpbRVW,61,1979-04-25
2,Bad Girls,Donna Summer,1979,track:Bad Girls artist:Donna Summer,3IXBJ8rk1MNSsgtePHuxMq,0,2021-05-11
2,Bad Girls,Donna Summer,1979,track:Bad Girls artist:Donna Summer,09O4D9HetqHSkgInytQFc5,50,1980-09-08
2,Bad Girls,Donna Summer,1979,track:Bad Girls artist:Donna Summer,4cVcKuPWczKvw2GZAotrj2,47,2013-01-01
2,Bad Girls,Donna Summer,1979,track:Bad Girls artist:Donna Summer,6q2fVOtgwrKTM7ETDVIgXu,45,2019-11-01
3,Le Freak,Chic,1979,track:Le Freak artist:Chic,7Kszjzps0xbQXyo1pO4KfE,67,1978-08-11
3,Le Freak,Chic,1979,track:Le Freak artist:Chic,7z3aH1QV2zwMKXxShBNOGe,44,1978
3,Le Freak,Chic,1979,track:Le Freak artist:Chic,3ClOMebBxeNTYCOfTH24YJ,56,2018-11-23
3,Le Freak,Chic,1979,track:Le Freak artist:Chic,6Lphpr9Z6H282Sguw0dUWa,55,1979
3,Le Freak,Chic,1979,track:Le Freak artist:Chic,0BOoghyiRci1ANsQba1FKS,37,2018-11-14
4,Da Ya Think I m Sexy?,Rod Stewart,1979,track:Da Ya Think I m Sexy? artist:Rod Stewart,4z7maGZkAonDlXlwo8q69f,69,1978-11-24
4,Da Ya Think I m Sexy?,Rod Stewart,1979,track:Da Ya Think I m Sexy? artist:Rod Stewart,42GthmiW6mIvcyaJHdMk30,38,2008-11-17
4,Da Ya Think I m Sexy?,Rod Stewart,1979,track:Da Ya Think I m Sexy? artist:Rod Stewart,058VOmj2vkyItyKHFLc8vF,46,2017-08-25
4,Da Ya Think I m Sexy?,Rod Stewart,1979,track:Da Ya Think I m Sexy? artist:Rod Stewart,1Q7bBYksiXK2ArFEQTNPvr,27,2009-08-31
4,Da Ya Think I m Sexy?,Rod Stewart,1979,track:Da Ya Think I m Sexy? artist:Rod Stewart,25IGDfUsxjb4ofO7GC6KtL,29,1989
5,Reunited,Peaches & Herb,1979,track:Reunited artist:Peaches & Herb,7wbPfd2mXbStoZZSnHNd2V,57,1978-01-01
