Artist(s),Query,Rank,Song,Year
Zayn  and  Taylor Swift,track:I Don t Wanna Live Forever artist:Zayn  and  Taylor Swift,26,I Don t Wanna Live Forever,2017.0
Kygo  and  Selena Gomez,track:It Ain t Me artist:Kygo  and  Selena Gomez,27,It Ain t Me,2017.0
Machine Gun Kelly  and  Camila Cabello,track:Bad Things artist:Machine Gun Kelly  and  Camila Cabello,41,Bad Things,2017.0
