Artist(s),Query,Rank,Song,Year
Jerry Butler  &  Brenda Lee Eager,track:Ain t Understanding Mellow artist:Jerry Butler  &  Brenda Lee Eager,84,Ain t Understanding Mellow,1972.0
Original Cast of  Godspell,track:Day by Day artist:Original Cast of  Godspell,90,Day by Day,1972.0
