Artist(s),Query,Rank,Song,Year
Pink,track:Just Like Fire artist:Pink,33,Just Like Fire,2016.0
Drake  and  Future,track:Jumpman artist:Drake  and  Future,37,Jumpman,2016.0
Zara Larsson  and  MNEK,track:Never Forget You artist:Zara Larsson  and  MNEK,46,Never Forget You,2016.0
"Lil Wayne  ,  Wiz Khalifa  and  Imagine Dragons  with  Logic  and  Ty Dolla $ign  ","track:Sucker for Pain artist:Lil Wayne  ,  Wiz Khalifa  and  Imagine Dragons  with  Logic  and  Ty Dolla $ign  ",68,Sucker for Pain,2016.0
Shawn Mendes  and  Camila Cabello,track:I Know What You Did Last Summer artist:Shawn Mendes  and  Camila Cabello,86,I Know What You Did Last Summer,2016.0
"Fat Joe  ,  Remy Ma  and  Jay-Z  ","track:All the Way Up artist:Fat Joe  ,  Remy Ma  and  Jay-Z  ",87,All the Way Up,2016.0
