Artist(s),Query,Rank,Song,Year
Chubby Checker  &  Dee Dee Sharp,track:Slow Twistin  artist:Chubby Checker  &  Dee Dee Sharp,17,Slow Twistin ,1962.0
Rick Nelson,track:Teen Age Idol artist:Rick Nelson,77,Teen Age Idol,1962.0
Jimmy Dean,track:PT-109 artist:Jimmy Dean,85,PT-109,1962.0
