Artist(s),Query,Rank,Song,Year
Wham!,track:Careless Whisper artist:Wham!,1,Careless Whisper,1985.0
Phil Collins  and  Marilyn Martin,track:Separate Lives artist:Phil Collins  and  Marilyn Martin,50,Separate Lives,1985.0
