Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,Tossin  and Turnin ,Bobby Lewis,1961,track:Tossin  and Turnin  artist:Bobby Lewis,79s3pSe1u6ggQBEwVPm58Z,46,2005
1,Tossin  and Turnin ,Bobby Lewis,1961,track:Tossin  and Turnin  artist:Bobby Lewis,0ZfkRyUUYS9Hvl6N5PXPot,34,1961-09-14
1,Tossin  and Turnin ,Bobby Lewis,1961,track:Tossin  and Turnin  artist:Bobby Lewis,7HDQqox0O0fTE7elQu4XxS,8,1961-09-14
1,Tossin  and Turnin ,Bobby Lewis,1961,track:Tossin  and Turnin  artist:Bobby Lewis,5vdpp00AQB2eD0S83qXlrU,5,2005
1,Tossin  and Turnin ,Bobby Lewis,1961,track:Tossin  and Turnin  artist:Bobby Lewis,5T64WGCfoQiwXBtfsrlIlk,2,2005
2,I Fall to Pieces,Patsy Cline,1961,track:I Fall to Pieces artist:Patsy Cline,6zFsz86nAj5gcvzyVqNL3k,62,1961-11-27
2,I Fall to Pieces,Patsy Cline,1961,track:I Fall to Pieces artist:Patsy Cline,6jZPBxLazNybcnso1A7j3H,24,2019-09-06
2,I Fall to Pieces,Patsy Cline,1961,track:I Fall to Pieces artist:Patsy Cline,1bwelrm10e8ITCsr7H7LqJ,21,1967-03-03
2,I Fall to Pieces,Patsy Cline,1961,track:I Fall to Pieces artist:Patsy Cline,30cHbiMYLTP2GMRGmTaRGJ,21,2012-01-01
2,I Fall to Pieces,Patsy Cline,1961,track:I Fall to Pieces artist:Patsy Cline,78KFIBlcbtjyukA7XxZju5,15,2004-06-22
3,Michael,The Highwaymen,1961,track:Michael artist:The Highwaymen,25TcXSVruQ3Oox1RyqRCFf,35,2007-01-01
3,Michael,The Highwaymen,1961,track:Michael artist:The Highwaymen,5pgq6Pzyr8iF2Rs7vzC1nd,5,1972
3,Michael,The Highwaymen,1961,track:Michael artist:The Highwaymen,3cludtjs7isdoWUjsT4MTp,4,1991
3,Michael,The Highwaymen,1961,track:Michael artist:The Highwaymen,7rp1yYoew1n74XL2EqTcoZ,0,1972
3,Michael,The Highwaymen,1961,track:Michael artist:The Highwaymen,5EDhHmezbcIxL6qzPpMlhx,1,2009-04-22
4,Crying,Roy Orbison,1961,track:Crying artist:Roy Orbison,6eLL7QTdMWdhhG4i3jHDR9,61,1962-01-01
4,Crying,Roy Orbison,1961,track:Crying artist:Roy Orbison,1LXIGfDrobAa9y0kYT9BLJ,45,1992-10-20
4,Crying,Roy Orbison,1961,track:Crying artist:Roy Orbison,56SVBTiWKPVwqNxiNkCpKS,43,2017-11-03
4,Crying,Roy Orbison,1961,track:Crying artist:Roy Orbison,1hmgNEcsynNHU1AN9MTxgp,29,2006-03-28
4,Crying,Roy Orbison,1961,track:Crying artist:Roy Orbison,6W4vYsrP4MhTKvSQ23m2Kq,25,2016-10-28
5,Runaway,Del Shannon,1961,track:Runaway artist:Del Shannon,45Szkclj1lt4ubm7RFK68t,61,1961-01-01
5,Runaway,Del Shannon,1961,track:Runaway artist:Del Shannon,5jhtgXcMH0cxuhEOXkRpl0,44,2010-02-09
5,Runaway,Del Shannon,1961,track:Runaway artist:Del Shannon,5imOTOzrGNHmrxhHpenH1g,20,1961-01-01
5,Runaway,Del Shannon,1961,track:Runaway artist:Del Shannon,2LgQvQLnKSpk1pYy3p2ZRT,14,1963-01-01
5,Runaway,Del Shannon,1961,track:Runaway artist:Del Shannon,0y7VF4SwgGZinlLn6Q7Pld,15,2006-10-30
6,My True Story,The Jive Five,1961,track:My True Story artist:The Jive Five,1paWReMsPIqKGEOxdlHT2D,43,2009-09-18
6,My True Story,The Jive Five,1961,track:My True Story artist:The Jive Five,6rHYGHf6QXrsnErxkJqP8b,30,1990
6,My True Story,The Jive Five,1961,track:My True Story artist:The Jive Five,7EkTDhM13dXa3W718e33wE,4,2018-12-21
6,My True Story,The Jive Five,1961,track:My True Story artist:The Jive Five,08kVTYD56NH4RRQhd715n8,2,2018-02-22
6,My True Story,The Jive Five,1961,track:My True Story artist:The Jive Five,67XaPW7MjB9rP3p28nFlCx,1,2009-09-18
7,Pony Time,Chubby Checker,1961,track:Pony Time artist:Chubby Checker,2XPEv2sB6c44DSocT2TwAc,32,1962-01-01
7,Pony Time,Chubby Checker,1961,track:Pony Time artist:Chubby Checker,45gAw2xmDx9DZAnoiJK723,23,1961-01-01
7,Pony Time,Chubby Checker,1961,track:Pony Time artist:Chubby Checker,6iyQO1taeQnGA7XeKTev8Z,19,2014-09-30
7,Pony Time,Chubby Checker,1961,track:Pony Time artist:Chubby Checker,2pzAs2WyM8MuM36VYKlRYb,13,2005-01-01
