Artist(s),Query,Rank,Song,Year
Anita Bryant,track:Paper Roses artist:Anita Bryant,41,Paper Roses,1960.0
The Browns,track:The Old Lamp-Lighter artist:The Browns,58,The Old Lamp-Lighter,1960.0
The Safaris  & The Phantom's Band,track:Image of a Girl artist:The Safaris  & The Phantom's Band,62,Image of a Girl,1960.0
Lloyd Price,track:Lady Luck artist:Lloyd Price,82,Lady Luck,1960.0
