Artist(s),Query,Rank,Song,Year
Tommy Boyce & Bobby Hart,track:I Wonder What She s Doing Tonight artist:Tommy Boyce & Bobby Hart,72,I Wonder What She s Doing Tonight,1968.0
James Brown,track:Say It Loud – I m Black and I m Proud artist:James Brown,90,Say It Loud – I m Black and I m Proud,1968.0
