Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,Happy,Pharrell Williams,2014,track:Happy artist:Pharrell Williams,60nZcImufyMA1MKQY3dcCH,80,2014-03-03
1,Happy,Pharrell Williams,2014,track:Happy artist:Pharrell Williams,72K0gi3DyEuaW0kPCw0lrO,41,2014-09-23
1,Happy,Pharrell Williams,2014,track:Happy artist:Pharrell Williams,0eMxgAHmuvoqpLyYQrbKvQ,38,2016-07-04
1,Happy,Pharrell Williams,2014,track:Happy artist:Pharrell Williams,5H1ur8DKF9iTilrVlEdo0w,25,2016-11-04
1,Happy,Pharrell Williams,2014,track:Happy artist:Pharrell Williams,5BaBboVsFJvQ2wiIQzwvBd,33,2018-11-23
2,Dark Horse,Katy Perry  ,2014,track:Dark Horse artist:Katy Perry  ,5jrdCoLpJSvHHorevXBATy,76,2013-10-18
2,Dark Horse,Katy Perry  ,2014,track:Dark Horse artist:Katy Perry  ,4jbmgIyjGoXjY01XxatOx6,73,2013-01-01
2,Dark Horse,Katy Perry  ,2014,track:Dark Horse artist:Katy Perry  ,3z5hQ94sA90V7qwAp5snpg,24,2016-11-04
2,Dark Horse,Katy Perry  ,2014,track:Dark Horse artist:Katy Perry  ,6kYWEELtjf3eM0fI6zqfcp,32,2020-10-26
2,Dark Horse,Katy Perry  ,2014,track:Dark Horse artist:Katy Perry  ,5uJgKWysabIqGIOOSPPCni,1,2014-01-16
3,All of Me,John Legend,2014,track:All of Me artist:John Legend,3U4isOIWM3VvDubwSI3y7a,86,2013-08-30
3,All of Me,John Legend,2014,track:All of Me artist:John Legend,1mzGywacjpeik00PVLBPpF,63,2014-02-25
3,All of Me,John Legend,2014,track:All of Me artist:John Legend,4oyTkYNopVIPm7Ebah6H2F,49,2018-02-02
3,All of Me,John Legend,2014,track:All of Me artist:John Legend,0vaLIgHcJM3Fs3jxN9MxPm,51,2014-06-05
3,All of Me,John Legend,2014,track:All of Me artist:John Legend,6nyZQ82OI0OujbbFpo3e0K,57,2013-11-22
4,Fancy,Iggy Azalea  ,2014,track:Fancy artist:Iggy Azalea  ,3oiMJQAWVaxSubJ7b2VUtX,69,2014-01-01
4,Fancy,Iggy Azalea  ,2014,track:Fancy artist:Iggy Azalea  ,3jaSYwk7Pa6f4xnsG9gxvh,0,2021-05-11
4,Fancy,Iggy Azalea  ,2014,track:Fancy artist:Iggy Azalea  ,5JlbtnG3rTLaWJHVFyEVaK,0,2021-05-12
4,Fancy,Iggy Azalea  ,2014,track:Fancy artist:Iggy Azalea  ,0Re8cGX4mU8alepu5xqYaY,0,2021-05-10
4,Fancy,Iggy Azalea  ,2014,track:Fancy artist:Iggy Azalea  ,6Yrs1VAbCfjyfGud7nCqJ8,0,2021-05-10
5,Counting Stars,OneRepublic,2014,track:Counting Stars artist:OneRepublic,6sy3LkhNFjJWlaeSMNwQ62,74,2014-01-01
5,Counting Stars,OneRepublic,2014,track:Counting Stars artist:OneRepublic,55jd4OzT9BWES2I0GRCXgn,0,2021-05-12
5,Counting Stars,OneRepublic,2014,track:Counting Stars artist:OneRepublic,0bDUakpio92tiK0L1HHq3t,28,2019-11-01
5,Counting Stars,OneRepublic,2014,track:Counting Stars artist:OneRepublic,0dUYxeQUDGnMtIinnbWgDu,22,2020-02-28
5,Counting Stars,OneRepublic,2014,track:Counting Stars artist:OneRepublic,1WYhtwbo2bSX664Yk5UdN8,18,2019-09-20
6,Talk Dirty,Jason Derulo  ,2014,track:Talk Dirty artist:Jason Derulo  ,6g6A7qNhTfUgOSH7ROOxTD,66,2013-09-10
6,Talk Dirty,Jason Derulo  ,2014,track:Talk Dirty artist:Jason Derulo  ,22r0HoAyCPma3BhIA8NDj4,49,2014-05-02
6,Talk Dirty,Jason Derulo  ,2014,track:Talk Dirty artist:Jason Derulo  ,5S6YPFSseYAUNRvAskaEmu,35,2013-09-10
