Artist(s),Query,Rank,Song,Year
Peabo Bryson  and  Regina Belle,track:A Whole New World artist:Peabo Bryson  and  Regina Belle,18,A Whole New World,1993.0
Inner Circle,"track:Bad Boys  "" (theme from  Cops  ) artist:Inner Circle",69,"Bad Boys  "" (theme from  Cops  )",1993.0
Dino,track:Ooh Child artist:Dino,88,Ooh Child,1993.0
