Artist(s),Query,Rank,Song,Year
Elton John  &  Kiki Dee,track:Don t Go Breaking My Heart artist:Elton John  &  Kiki Dee,2,Don t Go Breaking My Heart,1976.0
Walter Murphy  & The Big Apple Band,track:A Fifth of Beethoven artist:Walter Murphy  & The Big Apple Band,10,A Fifth of Beethoven,1976.0
Wing and a Prayer Fife and Drum Corps,track:Baby Face artist:Wing and a Prayer Fife and Drum Corps,68,Baby Face,1976.0
