Artist(s),Query,Rank,Song,Year
Patty Smyth  and  Don Henley,track:Sometimes Love Just Ain t Enough artist:Patty Smyth  and  Don Henley,22,Sometimes Love Just Ain t Enough,1992.0
Luther Vandross  and  Janet Jackson,track:The Best Things in Life Are Free artist:Luther Vandross  and  Janet Jackson,41,The Best Things in Life Are Free,1992.0
KWS,track:Please Don t Go artist:KWS,47,Please Don t Go,1992.0
