Artist(s),Query,Rank,Song,Year
Peter Cetera  and  Amy Grant,track:The Next Time I Fall artist:Peter Cetera  and  Amy Grant,28,The Next Time I Fall,1987.0
T'Pau,track:Heart and Soul artist:T'Pau,33,Heart and Soul,1987.0
Aretha Franklin  and  George Michael,track:I Knew You Were Waiting (For Me) artist:Aretha Franklin  and  George Michael,36,I Knew You Were Waiting (For Me),1987.0
Linda Ronstadt  and  James Ingram,track:Somewhere Out There artist:Linda Ronstadt  and  James Ingram,39,Somewhere Out There,1987.0
Michael Jackson  with  Siedah Garrett,track:I Just Can t Stop Loving You artist:Michael Jackson  with  Siedah Garrett,45,I Just Can t Stop Loving You,1987.0
Bruce Hornsby and the Range,track:Mandolin Rain artist:Bruce Hornsby and the Range,65,Mandolin Rain,1987.0
Pseudo Echo,track:Funkytown artist:Pseudo Echo,99,Funkytown,1987.0
