Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,Bette Davis Eyes,Kim Carnes,1981,track:Bette Davis Eyes artist:Kim Carnes,5l4iv5umeLLItM6RdrGKnG,55,2020-05-29
1,Bette Davis Eyes,Kim Carnes,1981,track:Bette Davis Eyes artist:Kim Carnes,0kPeymTUiaidv48eRrMISu,64,2007-01-01
1,Bette Davis Eyes,Kim Carnes,1981,track:Bette Davis Eyes artist:Kim Carnes,5Ous5CT0aTtQFIExWJD371,54,2013-10-14
1,Bette Davis Eyes,Kim Carnes,1981,track:Bette Davis Eyes artist:Kim Carnes,3n8fLsEfRyKDL94BRAlQhF,46,2018-11-16
1,Bette Davis Eyes,Kim Carnes,1981,track:Bette Davis Eyes artist:Kim Carnes,17zMtDfkzgMuRi4sfMINmw,1,2021-04-28
3,Lady,Kenny Rogers,1981,track:Lady artist:Kenny Rogers,5Pj5zrq2nbKcAekH1AxbrO,57,1993-01-01
3,Lady,Kenny Rogers,1981,track:Lady artist:Kenny Rogers,4yEP4qYYsfIXzbtVizJfvO,56,2021-02-12
3,Lady,Kenny Rogers,1981,track:Lady artist:Kenny Rogers,5kVkKUQQIMVySlDkGw5MvF,53,2008-01-01
3,Lady,Kenny Rogers,1981,track:Lady artist:Kenny Rogers,4kNaVprADQDfWl18mCXxh7,45,2012-01-01
3,Lady,Kenny Rogers,1981,track:Lady artist:Kenny Rogers,5lllSpYR5kRirQk8g2rIwa,30,1997-01-01
4,(Just Like) Starting Over,John Lennon,1981,track:(Just Like) Starting Over artist:John Lennon,5y0YreEOnQiKFAnCrcFIXz,60,1980-11-17
4,(Just Like) Starting Over,John Lennon,1981,track:(Just Like) Starting Over artist:John Lennon,7tqQI7nmRAqX0g8bIYDXmF,47,1980-11-17
4,(Just Like) Starting Over,John Lennon,1981,track:(Just Like) Starting Over artist:John Lennon,2FK2Ht204zBNA7fNsZx50e,45,1980-11-17
4,(Just Like) Starting Over,John Lennon,1981,track:(Just Like) Starting Over artist:John Lennon,6qdsNQVKw5JTwayRO0g1qJ,33,2020-10-09
4,(Just Like) Starting Over,John Lennon,1981,track:(Just Like) Starting Over artist:John Lennon,0tpcbm5xmmbwkFdtUR6EN0,24,2010-10-05
5,Jessie s Girl,Rick Springfield,1981,track:Jessie s Girl artist:Rick Springfield,5RsUlxLto4NZbhJpqJbHfN,71,1981
5,Jessie s Girl,Rick Springfield,1981,track:Jessie s Girl artist:Rick Springfield,0TF3F5Lw5apoD1zvR8LikO,62,1999-03-20
5,Jessie s Girl,Rick Springfield,1981,track:Jessie s Girl artist:Rick Springfield,4GPhDM4o3lq7kNqjjxhG6H,54,2018-02-02
5,Jessie s Girl,Rick Springfield,1981,track:Jessie s Girl artist:Rick Springfield,09gHUy89ZYvZm2M89pldIt,47,2019-04-26
5,Jessie s Girl,Rick Springfield,1981,track:Jessie s Girl artist:Rick Springfield,68yhUZQt2HR8dBIvTv3fv1,33,2014-03-03
6,Celebration,Kool & the Gang,1981,track:Celebration artist:Kool & the Gang,3K7Q9PHUWPTaknlbFPThn2,69,1980-09-29
6,Celebration,Kool & the Gang,1981,track:Celebration artist:Kool & the Gang,6CSLNGruNhqpb5zhfs5n3i,67,2009-01-01
6,Celebration,Kool & the Gang,1981,track:Celebration artist:Kool & the Gang,0w6NarG1yWAQdZPT7myI5O,4,2021-05-05
