Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
2,Like a Virgin,Madonna,1985,track:Like a Virgin artist:Madonna,1ZPlNanZsJSPK5h9YZZFbZ,71,1984-11-12
2,Like a Virgin,Madonna,1985,track:Like a Virgin artist:Madonna,1iaIEmZHrjGzWUmJ9BaFr6,52,2009-09-18
2,Like a Virgin,Madonna,1985,track:Like a Virgin artist:Madonna,22VWmcVQrYqHT4exHD6mMF,47,1990-11-09
2,Like a Virgin,Madonna,1985,track:Like a Virgin artist:Madonna,7H6muD5tyDvb5S2RlqrRUt,38,2003-11-24
2,Like a Virgin,Madonna,1985,track:Like a Virgin artist:Madonna,17WvhmXF06yquUwZjtjHsc,39,1984-11-12
3,Wake Me Up Before You Go-Go,Wham!,1985,track:Wake Me Up Before You Go-Go artist:Wham!,0ikz6tENMONtK6qGkOrU3c,79,1984-10-23
3,Wake Me Up Before You Go-Go,Wham!,1985,track:Wake Me Up Before You Go-Go artist:Wham!,5qFPs70nZD1fQZOi7u7cIZ,51,2006-11-11
3,Wake Me Up Before You Go-Go,Wham!,1985,track:Wake Me Up Before You Go-Go artist:Wham!,6ZEAXknmx2mrO3KgcDNpFI,54,2010-02-26
3,Wake Me Up Before You Go-Go,Wham!,1985,track:Wake Me Up Before You Go-Go artist:Wham!,3Jse0I8KBUIoNlLzPJEYbI,30,2014-03-03
3,Wake Me Up Before You Go-Go,Wham!,1985,track:Wake Me Up Before You Go-Go artist:Wham!,6lXjIRVsn4anV7sBhLBoiX,39,2019-07-05
4,I Want to Know What Love Is,Foreigner,1985,track:I Want to Know What Love Is artist:Foreigner,1JLn8RhQzHz3qDqsChcmBl,78,1984-12-12
4,I Want to Know What Love Is,Foreigner,1985,track:I Want to Know What Love Is artist:Foreigner,04OjLvOApQve45B0ISx4XN,45,2011-09-13
4,I Want to Know What Love Is,Foreigner,1985,track:I Want to Know What Love Is artist:Foreigner,4zjGsa5pIzmL3jYB1PUVQO,46,2020-03-13
4,I Want to Know What Love Is,Foreigner,1985,track:I Want to Know What Love Is artist:Foreigner,52ahDwSaFclHToKBWeZzic,27,2017-05-12
4,I Want to Know What Love Is,Foreigner,1985,track:I Want to Know What Love Is artist:Foreigner,4lKrezMm07kDro9soksC5Q,25,2017-06-23
5,I Feel for You,Chaka Khan,1985,track:I Feel for You artist:Chaka Khan,5yR9u8QiOt8hJaddv32oo7,62,1984
5,I Feel for You,Chaka Khan,1985,track:I Feel for You artist:Chaka Khan,1EZmeztCbpOM1vqDlGyJLQ,43,1984
5,I Feel for You,Chaka Khan,1985,track:I Feel for You artist:Chaka Khan,1OQz42WxAw0BsykOTYVAK6,36,1989
5,I Feel for You,Chaka Khan,1985,track:I Feel for You artist:Chaka Khan,26vKwxgkbm2jcKyjvmScPK,38,2005-09-20
5,I Feel for You,Chaka Khan,1985,track:I Feel for You artist:Chaka Khan,5o5MWTFEhvaQyDP8pqZEXm,34,1996-11-08
