Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,Every Breath You Take,The Police,1983,track:Every Breath You Take artist:The Police,1JSTJqkT5qHq8MDJnJbRE1,84,1983-06-17
1,Every Breath You Take,The Police,1983,track:Every Breath You Take artist:The Police,0SNGe4xksgp7CGnY5kMXOJ,73,2017-10-27
1,Every Breath You Take,The Police,1983,track:Every Breath You Take artist:The Police,6SnVeyLx3E5v9mIau90nPo,0,2021-05-12
1,Every Breath You Take,The Police,1983,track:Every Breath You Take artist:The Police,4U3Ggqyv2XgnS1u82HOGQX,55,2002-01-01
1,Every Breath You Take,The Police,1983,track:Every Breath You Take artist:The Police,0wF2zKJmgzjPTfircPJ2jg,34,2003-01-01
2,Billie Jean,Michael Jackson,1983,track:Billie Jean artist:Michael Jackson,5ChkMS8OtdzJeqyybCc9R5,83,1982-11-30
2,Billie Jean,Michael Jackson,1983,track:Billie Jean artist:Michael Jackson,7J1uxwnxfQLu4APicE5Rnj,62,1982-11-30
2,Billie Jean,Michael Jackson,1983,track:Billie Jean artist:Michael Jackson,6vR5u5b8JeRESx5nZaIWx6,53,1995-06-16
2,Billie Jean,Michael Jackson,1983,track:Billie Jean artist:Michael Jackson,7D0YmNlI9FDwodlKzHraRp,42,2009
2,Billie Jean,Michael Jackson,1983,track:Billie Jean artist:Michael Jackson,4WSfyC9pFp0nc8OD0rHyaD,38,2005-07-19
3,Flashdance... What a Feeling,Irene Cara,1983,track:Flashdance... What a Feeling artist:Irene Cara,5nUpmh8WSlQooSmNEUWDJo,52,2020-04-24
3,Flashdance... What a Feeling,Irene Cara,1983,track:Flashdance... What a Feeling artist:Irene Cara,0FIQjzPGk8eJd1cDRHRFWb,49,2015-03-10
3,Flashdance... What a Feeling,Irene Cara,1983,track:Flashdance... What a Feeling artist:Irene Cara,6YWMiREJ2dAVui3dAiipsp,42,2013-04-11
3,Flashdance... What a Feeling,Irene Cara,1983,track:Flashdance... What a Feeling artist:Irene Cara,5CGziaEatzKez145qf7Xj2,14,2020-12-18
3,Flashdance... What a Feeling,Irene Cara,1983,track:Flashdance... What a Feeling artist:Irene Cara,7ijxo2owNr4VMGxWl0uhaC,19,2013-07-17
4,Down Under,Men at Work,1983,track:Down Under artist:Men at Work,46RVKt5Edm1zl0rXhPJZxz,73,1996-02-01
4,Down Under,Men at Work,1983,track:Down Under artist:Men at Work,3ZZq9396zv8pcn5GYVhxUi,68,1981-11-09
4,Down Under,Men at Work,1983,track:Down Under artist:Men at Work,5MTQHfYH4RkJMtmtBQmnEj,52,1981
4,Down Under,Men at Work,1983,track:Down Under artist:Men at Work,6PzjPyxyy7asBmcCN9AU97,49,2010-02-26
4,Down Under,Men at Work,1983,track:Down Under artist:Men at Work,4XZlnoXOC88RYbgLICvqJU,30,2014-03-03
5,Beat It,Michael Jackson,1983,track:Beat It artist:Michael Jackson,1OOtq8tRnDM8kG2gqUPjAj,78,1982-11-30
5,Beat It,Michael Jackson,1983,track:Beat It artist:Michael Jackson,3BovdzfaX4jb5KFQwoPfAw,58,1982-11-30
5,Beat It,Michael Jackson,1983,track:Beat It artist:Michael Jackson,52xaypL0Kjzk0ngwv3oBPR,58,1995-06-16
5,Beat It,Michael Jackson,1983,track:Beat It artist:Michael Jackson,6pBM20jZldvNlbNcnwAX0y,55,2009
5,Beat It,Michael Jackson,1983,track:Beat It artist:Michael Jackson,1xEpz8iZDReyXevFcP89XG,39,2005-07-19
6,Total Eclipse of the Heart,Bonnie Tyler,1983,track:Total Eclipse of the Heart artist:Bonnie Tyler,7wuJGgpTNzbUyn26IOY6rj,77,2009-03-26
6,Total Eclipse of the Heart,Bonnie Tyler,1983,track:Total Eclipse of the Heart artist:Bonnie Tyler,1VrfLrBviw9A6JzRoo3t2C,64,1983-04-11
6,Total Eclipse of the Heart,Bonnie Tyler,1983,track:Total Eclipse of the Heart artist:Bonnie Tyler,7q3MflmodGZlOgZ799EpAb,49,2010-02-26
6,Total Eclipse of the Heart,Bonnie Tyler,1983,track:Total Eclipse of the Heart artist:Bonnie Tyler,2F2Eaf5kDi09KoO8Oy5qNb,35,2001-08-08
6,Total Eclipse of the Heart,Bonnie Tyler,1983,track:Total Eclipse of the Heart artist:Bonnie Tyler,5KNiDBxixK061X4rtVpdtQ,30,2014-03-03
7,Maneater,Hall & Oates,1983,track:Maneater artist:Hall & Oates,7j74lucZ59vqN67Ipe2ZcY,74,1982-10-04
7,Maneater,Hall & Oates,1983,track:Maneater artist:Hall & Oates,3138bmzQx3T63klLycjwT0,46,2005-04-25
7,Maneater,Hall & Oates,1983,track:Maneater artist:Hall & Oates,4xw1S4UaU7cLYtkkDY59SN,38,2002-03-18
7,Maneater,Hall & Oates,1983,track:Maneater artist:Hall & Oates,3xkG5WXCnSYxastDq3pmKn,36,2001-01-23
7,Maneater,Hall & Oates,1983,track:Maneater artist:Hall & Oates,1ydDfHjwZJs9ItO6uL0LKc,33,2014-03-03
9,Maniac,Michael Sembello,1983,track:Maniac artist:Michael Sembello,0QKfiqpEU4h9ycPSzIFwYe,74,1983-04-11
9,Maniac,Michael Sembello,1983,track:Maniac artist:Michael Sembello,4p7tM7OuvMuFWXVIiFX0Rr,62,2021-04-09
9,Maniac,Michael Sembello,1983,track:Maniac artist:Michael Sembello,2zzUgV2oqMSkCLAOnRX83f,44,2012-01-01
9,Maniac,Michael Sembello,1983,track:Maniac artist:Michael Sembello,3Btvoa7mQxKmlu1cYFqgHu,43,2013
9,Maniac,Michael Sembello,1983,track:Maniac artist:Michael Sembello,7CML07e8m56LrmgkC4Bl3Z,43,2019-09-06
10,Sweet Dreams (Are Made of This),Eurythmics,1983,track:Sweet Dreams (Are Made of This) artist:Eurythmics,1TfqLAPs4K3s2rJMoCokcS,81,1983-01-04
10,Sweet Dreams (Are Made of This),Eurythmics,1983,track:Sweet Dreams (Are Made of This) artist:Eurythmics,4Yn20PcIohkarnV1HcHY0P,52,2006-02-27
10,Sweet Dreams (Are Made of This),Eurythmics,1983,track:Sweet Dreams (Are Made of This) artist:Eurythmics,0imYRG0WKxUOOcqBu3VX10,47,1983-01-04
10,Sweet Dreams (Are Made of This),Eurythmics,1983,track:Sweet Dreams (Are Made of This) artist:Eurythmics,3LeEI52WqdKLzyIthTY5HU,31,2014-03-03
10,Sweet Dreams (Are Made of This),Eurythmics,1983,track:Sweet Dreams (Are Made of This) artist:Eurythmics,7Bp898e0U9IReLs2oKC7G4,33,1983-01-04
11,Do You Really Want to Hurt Me,Culture Club,1983,track:Do You Really Want to Hurt Me artist:Culture Club,1I6q6nwNjNgik1Qe8Oi0Y7,65,1982-09-01
11,Do You Really Want to Hurt Me,Culture Club,1983,track:Do You Really Want to Hurt Me artist:Culture Club,6DJ9EfPRuGxc6rLzfhlYqm,0,2021-05-11
11,Do You Really Want to Hurt Me,Culture Club,1983,track:Do You Really Want to Hurt Me artist:Culture Club,3kNIXrf4wOLxBh40tA5NtN,47,2002-01-01
11,Do You Really Want to Hurt Me,Culture Club,1983,track:Do You Really Want to Hurt Me artist:Culture Club,4cswb13Sn7wueZ6Vgqeyyw,39,1993-01-01
11,Do You Really Want to Hurt Me,Culture Club,1983,track:Do You Really Want to Hurt Me artist:Culture Club,4atx8Tul9EtJ9LWb98Dgwm,33,2011-01-01
12,You and I,Eddie Rabbitt  and  Crystal Gayle,1983,track:You and I artist:Eddie Rabbitt  and  Crystal Gayle,7sWlOFUnQShNdxgk1B0TuW,55,1982-10
12,You and I,Eddie Rabbitt  and  Crystal Gayle,1983,track:You and I artist:Eddie Rabbitt  and  Crystal Gayle,55uZJFuImJzBXLeBC3x7Co,35,2007-01-01
12,You and I,Eddie Rabbitt  and  Crystal Gayle,1983,track:You and I artist:Eddie Rabbitt  and  Crystal Gayle,6kmyByOHAz0nUpaI3LBNZK,32,1995-01-01
12,You and I,Eddie Rabbitt  and  Crystal Gayle,1983,track:You and I artist:Eddie Rabbitt  and  Crystal Gayle,4UcPy5bniQ0fgOe3f2BoWu,25,2013-01-01
12,You and I,Eddie Rabbitt  and  Crystal Gayle,1983,track:You and I artist:Eddie Rabbitt  and  Crystal Gayle,3QmdJ3JRhAjOzLnwfaS6Ew,0,2021-02-06
13,Come On Eileen,Dexys Midnight Runners,1983,track:Come On Eileen artist:Dexys Midnight Runners,3MrWxJaD2AT0W9DjWF64Vm,75,1982-07-22
13,Come On Eileen,Dexys Midnight Runners,1983,track:Come On Eileen artist:Dexys Midnight Runners,6nWcEzyxDozQcmxMoNJtYx,67,2009-01-01
13,Come On Eileen,Dexys Midnight Runners,1983,track:Come On Eileen artist:Dexys Midnight Runners,2Hw2JEL4tjdcX8aERfIdBF,57,2018-03-09
13,Come On Eileen,Dexys Midnight Runners,1983,track:Come On Eileen artist:Dexys Midnight Runners,0TMSVef2B1NnVCqonuIiEz,39,1995-04-16
13,Come On Eileen,Dexys Midnight Runners,1983,track:Come On Eileen artist:Dexys Midnight Runners,6tmslRyHPI7dyTe8rAHcbQ,34,2019-10-18
14,Shame on the Moon,Bob Seger & The Silver Bullet Band,1983,track:Shame on the Moon artist:Bob Seger & The Silver Bullet Band,1Gxaks4MTbjMCAQ20rx4Iy,55,1982-12-01
14,Shame on the Moon,Bob Seger & The Silver Bullet Band,1983,track:Shame on the Moon artist:Bob Seger & The Silver Bullet Band,7AfJD2BBs2ETS0dmrrLA8N,28,2011-11-21
14,Shame on the Moon,Bob Seger & The Silver Bullet Band,1983,track:Shame on the Moon artist:Bob Seger & The Silver Bullet Band,4kDcKYEpHBtq1ZtY4PszbV,24,2003-11-04
15,She Works Hard for the Money,Donna Summer,1983,track:She Works Hard for the Money artist:Donna Summer,3FlOciKDqFlTMPeC7t92Qy,60,1983-01-01
15,She Works Hard for the Money,Donna Summer,1983,track:She Works Hard for the Money artist:Donna Summer,7fHC71cNoQndMNYwDlfnfh,0,2021-05-11
15,She Works Hard for the Money,Donna Summer,1983,track:She Works Hard for the Money artist:Donna Summer,0WfSc8grEKeHrgxo3stsat,35,2018-04-20
15,She Works Hard for the Money,Donna Summer,1983,track:She Works Hard for the Money artist:Donna Summer,4xgC8lw1vVS0gJatMDlKAe,29,1999-06-21
15,She Works Hard for the Money,Donna Summer,1983,track:She Works Hard for the Money artist:Donna Summer,46zu58Q3hGtlJbL8DNOSko,15,2007-01-01
16,Never Gonna Let You Go,Sérgio Mendes,1983,track:Never Gonna Let You Go artist:Sérgio Mendes,5u8bqfaYSh0qVTsgslPknf,50,2009-01-01
16,Never Gonna Let You Go,Sérgio Mendes,1983,track:Never Gonna Let You Go artist:Sérgio Mendes,0Yyz56CeZIqLRYEuc26KGt,43,2011-01-01
16,Never Gonna Let You Go,Sérgio Mendes,1983,track:Never Gonna Let You Go artist:Sérgio Mendes,2eykDVj4E4AgXW74looclv,23,1987-01-01
16,Never Gonna Let You Go,Sérgio Mendes,1983,track:Never Gonna Let You Go artist:Sérgio Mendes,61SPmHkrOZpdhTEmlRV8rW,11,2020-02-28
16,Never Gonna Let You Go,Sérgio Mendes,1983,track:Never Gonna Let You Go artist:Sérgio Mendes,1zagYjqBMZhJqOP1V5CA2R,3,2020-02-14
17,Hungry Like the Wolf,Duran Duran,1983,track:Hungry Like the Wolf artist:Duran Duran,39lSeqnyjZJejRuaREfyLL,72,1982-05-10
17,Hungry Like the Wolf,Duran Duran,1983,track:Hungry Like the Wolf artist:Duran Duran,2HuHopKnnuGQEpGb0CssCs,50,1998
17,Hungry Like the Wolf,Duran Duran,1983,track:Hungry Like the Wolf artist:Duran Duran,2qeESyQyH7MRHCBotCQsNq,51,1998-11-09
17,Hungry Like the Wolf,Duran Duran,1983,track:Hungry Like the Wolf artist:Duran Duran,5pIaAkHJ928V2LGCz79FgQ,46,1989-11-13
17,Hungry Like the Wolf,Duran Duran,1983,track:Hungry Like the Wolf artist:Duran Duran,7m4OJ1m3g5xoOlJWL1ubdj,34,1982-05-10
18,Let s Dance,David Bowie,1983,track:Let s Dance artist:David Bowie,3ix6K4wZY29bCujrSznwFZ,72,1983-04-14
18,Let s Dance,David Bowie,1983,track:Let s Dance artist:David Bowie,4cVHMHgmWgudD399ZdhQ3L,65,1983
18,Let s Dance,David Bowie,1983,track:Let s Dance artist:David Bowie,0F1O42piteiHP3dRvKUz6p,49,2016-11-11
18,Let s Dance,David Bowie,1983,track:Let s Dance artist:David Bowie,3WSbPM4lLcUfmvfEfuNWRE,33,2007-03-19
18,Let s Dance,David Bowie,1983,track:Let s Dance artist:David Bowie,5PJBrwKH7SdByGtDCBGJwb,33,2016-11-11
19,Twilight Zone,Golden Earring,1983,track:Twilight Zone artist:Golden Earring,3ztKHejzVoxJRKSZHFFMdJ,53,2008-10-22
19,Twilight Zone,Golden Earring,1983,track:Twilight Zone artist:Golden Earring,5DPpbYqJi4OfgnV8fz1JsQ,50,1989-01-01
19,Twilight Zone,Golden Earring,1983,track:Twilight Zone artist:Golden Earring,1miXjv3X34Q9w7wDZoBnDz,51,1982
19,Twilight Zone,Golden Earring,1983,track:Twilight Zone artist:Golden Earring,621aonxy8cC4AZoB1jS81M,20,1998-01-01
19,Twilight Zone,Golden Earring,1983,track:Twilight Zone artist:Golden Earring,6PzkzHvse5Od5l23RC71Pk,27,1982-07-10
20,I Know There s Something Going On,Frida,1983,track:I Know There s Something Going On artist:Frida,6CT0MVgHnoAUXrSrnlwfWx,48,1982-09-06
20,I Know There s Something Going On,Frida,1983,track:I Know There s Something Going On artist:Frida,1la05DPH8mvgyatVbypgpq,35,1982-09-06
20,I Know There s Something Going On,Frida,1983,track:I Know There s Something Going On artist:Frida,1lPxHOq5qqyCskLDvVQufX,12,1998-01-01
20,I Know There s Something Going On,Frida,1983,track:I Know There s Something Going On artist:Frida,0TMuNH7KNSfu7nIAOBHmAJ,12,1982-08
20,I Know There s Something Going On,Frida,1983,track:I Know There s Something Going On artist:Frida,7gsex4KHsFWCDzSklMTH3o,19,1982-08
21,Jeopardy,The Greg Kihn Band,1983,track:Jeopardy artist:The Greg Kihn Band,7LmDmvqagpX0PKxveGtZTa,53,1983
21,Jeopardy,The Greg Kihn Band,1983,track:Jeopardy artist:The Greg Kihn Band,1mZopBRe3waQtqmx5wpGzy,30,1983
21,Jeopardy,The Greg Kihn Band,1983,track:Jeopardy artist:The Greg Kihn Band,31KqzyDIunEgrjUPWakpn6,23,2012-04-03
21,Jeopardy,The Greg Kihn Band,1983,track:Jeopardy artist:The Greg Kihn Band,48TdnNapMjgRgxTs8mstrF,24,1983
21,Jeopardy,The Greg Kihn Band,1983,track:Jeopardy artist:The Greg Kihn Band,5Z3N6pN198K308AczybLRb,8,1983
23,She Blinded Me with Science,Thomas Dolby,1983,track:She Blinded Me with Science artist:Thomas Dolby,6y9VZNRczyKeQihebHSMJ8,48,1982-06-29
23,She Blinded Me with Science,Thomas Dolby,1983,track:She Blinded Me with Science artist:Thomas Dolby,6HYf9ZEZKuxy581QVmYA6c,44,1983-12-09
23,She Blinded Me with Science,Thomas Dolby,1983,track:She Blinded Me with Science artist:Thomas Dolby,0BWravaqj9rKdOU8RWXhuf,43,1994-02-07
23,She Blinded Me with Science,Thomas Dolby,1983,track:She Blinded Me with Science artist:Thomas Dolby,1vORDwbaam9l3Z7OMXdzhw,36,1999-08-02
23,She Blinded Me with Science,Thomas Dolby,1983,track:She Blinded Me with Science artist:Thomas Dolby,4Sm9vwLIv5ctDrfgvuR5rL,22,1987-06-29
24,Africa,Toto,1983,track:Africa artist:Toto,2374M0fQpWi3dLnB54qaLX,83,1982-04-08
24,Africa,Toto,1983,track:Africa artist:Toto,6QZo2TgclkUMwJgggi8QSQ,49,2018-02-09
24,Africa,Toto,1983,track:Africa artist:Toto,28o8m1o9RGtySbmQJtAvym,54,2010-02-26
24,Africa,Toto,1983,track:Africa artist:Toto,3h4h7LYcudzLLRX2dJU6st,48,2017-10-27
24,Africa,Toto,1983,track:Africa artist:Toto,42uZezaPwnVyYyfh2aHo6p,31,2014-03-03
25,Little Red Corvette,Prince,1983,track:Little Red Corvette artist:Prince,4N1dFbXmRng8qJ3KdJrbLr,56,2019-09-10
25,Little Red Corvette,Prince,1983,track:Little Red Corvette artist:Prince,4mVW9vi2QnLzlbK5SoacK6,52,1982-10-27
25,Little Red Corvette,Prince,1983,track:Little Red Corvette artist:Prince,3315t15Sw3QTL6TDWhSM4F,39,2016-11-22
