Artist(s),Query,Rank,Song,Year
Destiny's Child,"track:Jumpin , Jumpin  artist:Destiny's Child",13,"Jumpin , Jumpin ",2000.0
Pink,track:Most Girls artist:Pink,52,Most Girls,2000.0
Lil' Bow Wow  ,track:Bounce with Me artist:Lil' Bow Wow  ,94,Bounce with Me,2000.0
Dixie Chicks,track:Cowboy Take Me Away artist:Dixie Chicks,95,Cowboy Take Me Away,2000.0
