Artist(s),Query,Rank,Song,Year
The Beatles  with  Billy Preston,track:Get Back artist:The Beatles  with  Billy Preston,25,Get Back,1969.0
"""Mama"" Cass Elliot","track:It s Getting Better artist:""Mama"" Cass Elliot",55,It s Getting Better,1969.0
New Colony Six,track:Things I d Like to Say artist:New Colony Six,70,Things I d Like to Say,1969.0
