Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
3,Because You Loved Me,Celine Dion,1996,track:Because You Loved Me artist:Celine Dion,28UMiBhn383n9S7GL4tsxD,74,1996-02-28
3,Because You Loved Me,Celine Dion,1996,track:Because You Loved Me artist:Celine Dion,4WrUZTGFXeZNxpRDKU18Y1,37,2014-02-10
3,Because You Loved Me,Celine Dion,1996,track:Because You Loved Me artist:Celine Dion,7ESPq8MGBjtlbLKxoeDMUR,32,1999
3,Because You Loved Me,Celine Dion,1996,track:Because You Loved Me artist:Celine Dion,1IKvieRD4uXUv5p0WbVpQ5,19,2008-10-14
3,Because You Loved Me,Celine Dion,1996,track:Because You Loved Me artist:Celine Dion,0cGoe4twi12yqSoHxV0nxI,30,2008
4,Nobody Knows,The Tony Rich Project,1996,track:Nobody Knows artist:The Tony Rich Project,2PsHIonOTmX6bSrzIJSjyS,54,1996-01-16
4,Nobody Knows,The Tony Rich Project,1996,track:Nobody Knows artist:The Tony Rich Project,2xAEANKrSbZYzqrE5coafm,33,2013-06-24
4,Nobody Knows,The Tony Rich Project,1996,track:Nobody Knows artist:The Tony Rich Project,3kFbz0krBIE739vtf0Wagl,30,2014-11-28
4,Nobody Knows,The Tony Rich Project,1996,track:Nobody Knows artist:The Tony Rich Project,2GljvnlZsCyW3zsk1z17A2,17,1996-01-16
4,Nobody Knows,The Tony Rich Project,1996,track:Nobody Knows artist:The Tony Rich Project,3VoEEij0T93wUrcG4DofZ7,5,2000-04-09
5,Always Be My Baby,Mariah Carey,1996,track:Always Be My Baby artist:Mariah Carey,2aBxt229cbLDOvtL7Xbb9x,72,1995-09-26
5,Always Be My Baby,Mariah Carey,1996,track:Always Be My Baby artist:Mariah Carey,1pMjdk4KxtiCcbRutDYtwv,38,2015
5,Always Be My Baby,Mariah Carey,1996,track:Always Be My Baby artist:Mariah Carey,1DfiiyhfubvjxG5GISZs6d,30,2014-06-10
5,Always Be My Baby,Mariah Carey,1996,track:Always Be My Baby artist:Mariah Carey,7FVVLMzBc8XecSMvfAJWZD,35,2003-10-14
5,Always Be My Baby,Mariah Carey,1996,track:Always Be My Baby artist:Mariah Carey,7bsTAMk5ToHPLjBwQjBEEt,29,2001-12-04
6,Give Me One Reason,Tracy Chapman,1996,track:Give Me One Reason artist:Tracy Chapman,4vDBJeeQCbhP9FaPPMsYkY,69,1995-10-31
